NORMSEARCHWORD;SUMMCNT;CNT_WITH_KART;CNT_NOT_FOUND;CNT_NO_KART;QTY_POS;GENART_QTY_POS;GENART_DLNR_QTY_POS;PERCENT_QTY_POS;U4_OE;SA200;SA203FF;IAM_GENART;GENARTNR;GENARTDESCR
"49700";1877;1863;1;13;349;1;0;0,29;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"4G434210273";2;2;0;0;1;1;1;100;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5000DYUK";2;2;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"500111X2";6;6;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5001FFRK";2;2;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"500238W2";6;6;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"500395T8";1;1;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5003LUCK";1;1;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"50040JAF";6;6;0;0;2;2;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5005YCRF";3;3;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5005CYA9";11;11;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5005DYA7";11;8;3;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5006ADLK";4;4;0;0;2;2;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"50075VL1";4;4;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5007CYA7";2;2;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"50083CKK";1;1;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"500888W5";25;25;0;0;5;5;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5008KKJ3";2;2;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5008RTC4";1;1;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"50096HNF";2;2;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"501527D3";5;4;1;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5015999R";6;6;0;0;2;2;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"50178912";9;9;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"50178920";4;4;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"502366H6";1;1;0;0;1;1;1;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"502335H4";6;6;0;0;1;1;1;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"502336H3";2;2;0;0;1;1;1;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"502947J9";2;2;0;0;1;1;1;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"502961J0";1;1;0;0;1;1;1;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
