POS;DLNR;Score (%)
1;Schaeffler LuK;90,02
2;SACHS;87,76
3;VALEO;86,93
4;RYMEC;81,58
5;BLUE PRINT;75,18
6;AISIN;72,63
7;EXEDY;71,15
8;HERTH+BUSS JAKOPARTS;51,25
9;JAPANPARTS;49,32
10;BorgWarner;0
