GENART;LDATE;LKZ;DLNR;DLNRBEZ;NARTNR;QTY_POS
479;"2026/1";"West Europe";32;"SACHS";"3089000033";3
479;"2026/1";"ROW";21;"VALEO";"826577";59
479;"2026/1";"Nordic";6;"Schaeffler LuK";"622114560";6
479;"2026/1";"Nordic";6;"Schaeffler LuK";"624305034";1
479;"2026/1";"ROW";6;"Schaeffler LuK";"620335400";3
479;"2026/1";"ROW";6;"Schaeffler LuK";"622228100";9
479;"2026/1";"ROW";6;"Schaeffler LuK";"623304700";20
479;"2026/1";"ROW";6;"Schaeffler LuK";"623352800";8
479;"2026/1";"ROW";6;"Schaeffler LuK";"623354700";9
479;"2026/1";"ROW";6;"Schaeffler LuK";"624353909";16
479;"2026/1";"ROW";6;"Schaeffler LuK";"618314900";1
479;"2026/1";"SEE";6;"Schaeffler LuK";"600016800";29
479;"2026/1";"SEE";6;"Schaeffler LuK";"600019200";37
479;"2026/1";"SEE";6;"Schaeffler LuK";"620308400";17
479;"2026/1";"SEE";6;"Schaeffler LuK";"620311909";20
479;"2026/1";"SEE";6;"Schaeffler LuK";"622302700";21
479;"2026/1";"SEE";6;"Schaeffler LuK";"622315933";38
479;"2026/1";"SEE";6;"Schaeffler LuK";"622323609";94
479;"2026/1";"SEE";6;"Schaeffler LuK";"623115700";21
479;"2026/1";"SEE";6;"Schaeffler LuK";"623199960";7
479;"2026/1";"SEE";6;"Schaeffler LuK";"624322619";1
479;"2026/1";"SEE";6;"Schaeffler LuK";"624354709";34
479;"2026/1";"SEE";6;"Schaeffler LuK";"624401133";6
479;"2026/1";"SEE";6;"Schaeffler LuK";"624404409";5
479;"2026/1";"SEE";6;"Schaeffler LuK";"626303200";7
479;"2026/1";"SEE";21;"VALEO";"826030";14
479;"2026/1";"SEE";21;"VALEO";"826415";60
479;"2026/1";"SEE";21;"VALEO";"828012";35
479;"2026/1";"SEE";21;"VALEO";"828139";4
479;"2026/1";"Germany";6;"Schaeffler LuK";"600000600";223
479;"2026/1";"Germany";6;"Schaeffler LuK";"600001700";1180
479;"2026/1";"Germany";6;"Schaeffler LuK";"600008400";75
479;"2026/1";"Germany";6;"Schaeffler LuK";"600014700";27
479;"2026/1";"Germany";6;"Schaeffler LuK";"600015600";65
479;"2026/1";"Germany";6;"Schaeffler LuK";"600022600";45
479;"2026/1";"Germany";6;"Schaeffler LuK";"600026000";23
479;"2026/1";"Germany";6;"Schaeffler LuK";"600027700";462
479;"2026/1";"Germany";6;"Schaeffler LuK";"600035000";203
479;"2026/1";"Germany";6;"Schaeffler LuK";"600035500";524
479;"2026/1";"Germany";6;"Schaeffler LuK";"600036900";48
479;"2026/1";"Germany";6;"Schaeffler LuK";"600037800";53
479;"2026/1";"Germany";6;"Schaeffler LuK";"618309200";269
479;"2026/1";"Germany";6;"Schaeffler LuK";"619306100";1
479;"2026/1";"Germany";6;"Schaeffler LuK";"619307700";156
479;"2026/1";"Germany";6;"Schaeffler LuK";"620308600";192
479;"2026/1";"Germany";6;"Schaeffler LuK";"620317900";50
479;"2026/1";"Germany";6;"Schaeffler LuK";"620326821";25
479;"2026/1";"Germany";6;"Schaeffler LuK";"620332400";302
479;"2026/1";"Germany";6;"Schaeffler LuK";"620335133";173
