GENART_DESC;GENARTNR;TYPENR;BSK_POS;RATIO (%);AISIN;Schaeffler LuK;BLUE PRINT;EXEDY;VALEO;JAPANPARTS;BorgWarner;HERTH+BUSS JAKOPARTS;RYMEC;SACHS
Kupplungssatz;479;146729;2;0,0012;0;2;0;1;1;0;0;0;0;1
Kupplungssatz;479;1633;4;0,0025;2;2;3;1;2;0;0;0;2;2
Kupplungssatz;479;24499;1;0,0006;1;1;0;1;7;1;0;0;1;2
Kupplungssatz;479;23240;5;0,0031;1;1;2;1;4;1;0;2;1;2
Kupplungssatz;479;120078;27;0,0169;2;4;0;3;5;0;0;3;6;6
Kupplungssatz;479;3247;7;0,0044;1;3;1;2;4;1;0;1;2;4
Kupplungssatz;479;17141;10;0,0062;3;6;6;6;7;1;0;3;5;7
Kupplungssatz;479;100837;7;0,0044;2;4;0;1;5;0;0;3;6;6
Kupplungssatz;479;34309;4;0,0025;2;4;1;1;4;0;0;1;1;4
Kupplungssatz;479;119471;4;0,0025;0;3;0;3;10;0;0;0;0;5
Kupplungssatz;479;131240;3;0,0019;0;3;0;3;0;0;0;0;2;2
Kupplungssatz;479;19040;1;0,0006;4;3;3;2;4;2;0;3;4;3
Kupplungssatz;479;119853;3;0,0019;1;2;0;2;4;2;0;0;2;2
Kupplungssatz;479;19458;4;0,0025;4;7;7;4;7;1;0;2;3;9
Kupplungssatz;479;139507;6;0,0037;2;2;0;1;1;0;0;1;1;1
Kupplungssatz;479;848;1;0,0006;2;2;3;2;6;1;0;2;0;1
Kupplungssatz;479;19405;3;0,0019;1;2;4;1;10;2;0;2;6;5
Kupplungssatz;479;59306;2;0,0012;3;5;3;4;6;0;0;1;8;4
Kupplungssatz;479;130186;4;0,0025;2;3;0;2;7;1;0;2;2;3
Kupplungssatz;479;16062;14;0,0087;8;5;6;5;7;1;0;1;7;6
Kupplungssatz;479;100182;4;0,0025;1;5;1;2;7;4;0;2;2;3
Kupplungssatz;479;15414;35;0,0219;0;2;0;1;2;0;0;0;1;1
Kupplungssatz;479;5409;1;0,0006;0;4;1;2;3;0;0;0;2;2
Kupplungssatz;479;128575;1;0,0006;1;4;0;2;7;1;0;2;0;3
Kupplungssatz;479;33061;56;0,035;4;8;5;5;5;0;0;2;7;5
Kupplungssatz;479;55466;38;0,0237;2;2;2;2;4;1;0;2;2;2
Kupplungssatz;479;17177;14;0,0087;2;3;2;2;3;1;0;1;2;1
Kupplungssatz;479;32817;3;0,0019;0;1;0;0;1;0;0;1;1;1
Kupplungssatz;479;16006;2;0,0012;0;4;0;1;2;0;0;0;1;1
Kupplungssatz;479;112956;25;0,0156;3;4;3;4;3;0;0;2;3;3
Kupplungssatz;479;31149;17;0,0106;3;5;8;4;5;1;0;1;0;1
Kupplungssatz;479;122174;3;0,0019;0;0;1;1;1;1;0;0;0;0
Kupplungssatz;479;5655;2;0,0012;1;1;0;1;2;1;0;1;1;1
Kupplungssatz;479;101057;36;0,0225;1;3;2;3;3;0;0;2;3;1
Kupplungssatz;479;125843;1;0,0006;1;2;0;1;1;1;0;1;1;1
Kupplungssatz;479;100882;1;0,0006;0;2;0;0;1;0;0;0;0;0
Kupplungssatz;479;18617;1;0,0006;1;2;1;2;0;2;0;0;0;1
Kupplungssatz;479;18460;3;0,0019;1;2;1;1;7;1;0;1;2;2
Kupplungssatz;479;118695;2;0,0012;1;2;1;1;4;1;0;1;0;1
Kupplungssatz;479;5303;23;0,0144;2;3;2;1;2;0;0;0;2;2
Kupplungssatz;479;1051;7;0,0044;4;4;1;4;5;4;0;3;3;3
Kupplungssatz;479;100409;3;0,0019;3;5;0;1;4;1;0;1;3;4
Kupplungssatz;479;55826;1;0,0006;0;1;0;0;0;0;0;0;0;0
Kupplungssatz;479;11235;8;0,005;5;5;0;6;1;2;0;1;0;5
Kupplungssatz;479;17820;3;0,0019;0;3;0;2;4;0;0;0;2;2
Kupplungssatz;479;120272;5;0,0031;1;4;1;2;5;1;0;2;2;2
Kupplungssatz;479;145126;6;0,0037;1;0;3;0;3;0;0;0;0;0
Kupplungssatz;479;113868;2;0,0012;1;3;0;2;4;1;0;0;1;2
Kupplungssatz;479;23357;5;0,0031;1;2;1;1;5;1;0;1;2;2
Kupplungssatz;479;136072;1;0,0006;0;1;0;1;0;0;0;0;0;1
Kupplungssatz;479;128148;1;0,0006;0;3;2;3;4;0;0;0;3;5
Kupplungssatz;479;117064;8;0,005;0;3;1;2;5;0;0;1;0;2
Kupplungssatz;479;15326;1;0,0006;0;3;1;0;2;0;0;0;2;0
Kupplungssatz;479;115198;3;0,0019;1;0;1;0;5;0;0;0;0;2
Kupplungssatz;479;298;1;0,0006;1;1;1;1;2;0;0;0;1;1
Kupplungssatz;479;132995;3;0,0019;2;2;1;0;4;1;0;0;2;2
Kupplungssatz;479;114343;9;0,0056;0;1;0;1;3;1;0;1;1;1
Kupplungssatz;479;19470;6;0,0037;3;4;1;2;4;2;0;0;4;4
Kupplungssatz;479;142956;3;0,0019;1;1;0;1;1;0;0;0;0;2
Kupplungssatz;479;16510;6;0,0037;1;1;1;1;2;1;0;1;1;1
Kupplungssatz;479;7868;1;0,0006;2;5;4;3;5;0;0;2;1;5
Kupplungssatz;479;145226;3;0,0019;1;3;0;2;7;1;0;1;0;6
Kupplungssatz;479;33674;140;0,0874;9;8;6;8;11;2;0;5;9;7
Kupplungssatz;479;7903;5;0,0031;0;1;2;2;2;0;0;0;2;2
Kupplungssatz;479;55121;16;0,01;1;3;1;3;4;1;0;1;1;3
Kupplungssatz;479;17317;53;0,0331;2;2;3;2;2;2;0;2;2;3
Kupplungssatz;479;7191;3;0,0019;2;2;2;2;5;2;0;2;0;2
Kupplungssatz;479;18003;5;0,0031;2;2;2;2;4;1;0;2;2;1
Kupplungssatz;479;139308;21;0,0131;0;3;2;1;5;0;0;1;0;0
Kupplungssatz;479;107484;21;0,0131;3;4;1;2;5;1;0;2;2;2
Kupplungssatz;479;137737;11;0,0069;0;1;0;0;0;0;0;0;0;1
Kupplungssatz;479;19299;4;0,0025;2;3;2;1;5;0;0;0;4;3
Kupplungssatz;479;18911;3;0,0019;0;6;1;0;7;1;0;0;4;2
Kupplungssatz;479;113272;5;0,0031;0;2;0;2;3;0;0;0;2;1
Kupplungssatz;479;31737;6;0,0037;5;5;3;3;5;0;0;0;7;6
Kupplungssatz;479;132558;1;0,0006;0;0;2;0;2;0;0;0;0;4
Kupplungssatz;479;14533;1;0,0006;1;2;1;2;7;2;0;0;2;4
Kupplungssatz;479;100044;9;0,0056;4;4;4;4;7;0;0;2;5;3
Kupplungssatz;479;17990;3;0,0019;1;2;1;1;2;1;0;1;2;1
Kupplungssatz;479;123883;3;0,0019;0;2;2;0;2;1;0;0;0;2
Kupplungssatz;479;1630;4;0,0025;3;5;0;3;4;1;0;1;4;2
Kupplungssatz;479;30934;2;0,0012;2;7;3;1;4;1;0;1;5;5
Kupplungssatz;479;120663;13;0,0081;2;3;2;3;4;0;0;2;3;4
Kupplungssatz;479;109636;2;0,0012;3;2;2;3;0;1;0;0;0;2
Kupplungssatz;479;16048;3;0,0019;0;1;2;1;1;0;0;0;0;1
Kupplungssatz;479;128292;3;0,0019;2;0;0;1;6;0;0;0;0;1
Kupplungssatz;479;126844;9;0,0056;0;5;0;3;3;0;0;0;1;3
Kupplungssatz;479;14827;13;0,0081;5;6;3;7;9;0;0;0;8;6
Kupplungssatz;479;15758;4;0,0025;1;2;2;0;2;0;0;0;2;1
Kupplungssatz;479;32389;5;0,0031;2;5;6;5;6;0;0;0;8;3
Kupplungssatz;479;2127;2;0,0012;3;1;0;1;1;0;0;0;1;2
Kupplungssatz;479;5550;1;0,0006;2;2;2;2;5;1;0;0;2;3
Kupplungssatz;479;31546;22;0,0137;7;4;2;3;6;3;0;3;5;4
Kupplungssatz;479;118562;4;0,0025;0;0;0;0;3;0;0;0;0;1
Kupplungssatz;479;24529;9;0,0056;1;1;1;1;5;2;0;1;1;1
Kupplungssatz;479;10974;12;0,0075;8;6;4;6;3;0;0;4;8;6
Kupplungssatz;479;108276;7;0,0044;0;2;0;2;4;1;0;1;2;1
Kupplungssatz;479;16019;1;0,0006;1;1;0;1;1;0;0;0;1;3
