NORMSEARCHWORD;SUMMCNT;CNT_WITH_KART;CNT_NOT_FOUND;CNT_NO_KART;QTY_POS;GENART_QTY_POS;GENART_DLNR_QTY_POS;PERCENT_QTY_POS;U4_OE;SA200;SA203FF;IAM_GENART;GENARTNR;GENARTDESCR
"0062509004";2;2;0;0;1;1;0;100;1;0;1;0;479;"Kupplungssatz"
"006294";18;18;0;0;6;6;0;100;0;0;0;0;479;"Kupplungssatz"
"0063366";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0063948";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0064232";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0065342";3;3;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0066137";5;5;0;0;2;2;0;100;0;0;0;0;479;"Kupplungssatz"
"0067021";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"006724";35;30;1;4;1;1;0;100;0;0;1;1;479;"Kupplungssatz"
"006803";55;48;0;7;2;2;0;100;0;0;1;1;479;"Kupplungssatz"
"006804";23;20;0;3;2;2;0;100;0;0;1;1;479;"Kupplungssatz"
"007200400";4;4;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"0075000";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0076502";8;8;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"00773736";3;3;0;0;2;2;2;100;0;0;0;0;479;"Kupplungssatz"
"0081636";1;1;0;0;1;1;1;100;0;0;0;0;479;"Kupplungssatz"
"008190000";5;5;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"008190600";21;21;0;0;4;4;0;100;0;0;0;1;479;"Kupplungssatz"
"0087379";3;3;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"009011";14;14;0;0;7;7;0;100;0;0;0;0;479;"Kupplungssatz"
"009141";36;28;0;8;1;1;0;100;0;0;1;1;479;"Kupplungssatz"
"009215";20;18;0;2;1;1;0;100;0;0;1;1;479;"Kupplungssatz"
"009237";18;13;0;5;1;1;0;100;0;0;1;1;479;"Kupplungssatz"
"009242";84;81;0;3;5;5;0;100;0;0;1;1;479;"Kupplungssatz"
"009247";17;16;0;1;2;2;0;100;0;0;1;1;479;"Kupplungssatz"
"009249";19;18;0;1;4;4;0;100;0;0;1;1;479;"Kupplungssatz"
"009275";15;12;0;3;1;1;0;100;0;0;1;1;479;"Kupplungssatz"
"009279";11;1;0;10;1;1;0;100;0;0;1;1;479;"Kupplungssatz"
"009312";8;8;0;0;1;1;1;100;0;0;1;1;479;"Kupplungssatz"
"01012603";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0102503303S1";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0102508904";2;1;0;1;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0103328";2;2;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"010751";15;15;0;0;8;8;0;100;0;0;0;0;479;"Kupplungssatz"
"0110003286";1;1;0;0;1;1;1;100;0;0;0;0;479;"Kupplungssatz"
"0110003288";2;2;0;0;2;2;2;100;0;0;0;0;479;"Kupplungssatz"
"0110003744";1;1;0;0;1;1;1;100;0;0;0;0;479;"Kupplungssatz"
"0110003810";1;1;0;0;1;1;1;100;0;0;0;0;479;"Kupplungssatz"
