GENART;LDATE;DLNR;DLNRBEZ;QTY_POS
479;"2024";481;"JAPKO";859
479;"2024";5436;"S-TEC";154
479;"2024";440;"NPS";8
479;"2024";4675;"STARLINE";580
479;"2024";403;"MAXGEAR";138
479;"2024";4869;"RED-LINE";53
479;"2024";4362;"TURBO-MOT";1
479;"2024";4559;"MECARM";36
479;"2024";4346;"vika";7
479;"2024";4342;"TCMATIC";14
479;"2024";171;"Motorcraft";5
479;"2024";6985;"JPN";1
479;"2024";4664;"Metalcaucho";1
479;"2024";4773;"MDR";2
479;"2024";6896;"MTR";1
479;"2024";475;"BORG & BECK";1400
479;"2024";5275;"A.Z. Meisterteile";4
479;"2024";260;"SASIC";40
479;"2024";4834;"FARE SA";31
479;"2024";201;"KAVO PARTS";1143
479;"2024";101;"FEBI BILSTEIN";169
479;"2024";4561;"WESTLAKE";2337
479;"2024";378;"OPEN PARTS";4
479;"2024";6359;"IAP QUALITY PARTS";11
479;"2024";4576;"ASAM";7
479;"2024";1471;"Pika US-Parts";4
479;"2024";127;"NK";1448
479;"2024";185;"KAMOKA";99
479;"2024";190;"NATIONAL";358
479;"2024";2728;"ORIGINAL Schäferbarthold";148
479;"2024";355;"DT Spare Parts";39
479;"2024";4391;"EUROREPAR";8
479;"2024";4081;"ACKOJA";11
479;"2024";4683;"OSSCA";4
479;"2024";4390;"_Del_C.E.I.";1
479;"2024";6;"LuK";470407
479;"2024";156;"JAPANPARTS";5459
479;"2024";421;"COMLINE";393
479;"2024";4564;"MOTAQUIP";10
479;"2024";4815;"Borsehung";16
479;"2024";4548;"LIPE CLUTCH";5
479;"2024";1210;"_del_CARBOX";3235
479;"2024";268;"JP GROUP";59
479;"2024";177;"BTS Turbo";9
479;"2024";4832;"WILMINK GROUP";5
479;"2024";63;"PE Automotive";1
479;"2024";6355;"NTY";6
479;"2024";336;"ST-TEMPLIN";1
479;"2024";4623;"SAMPA";1
479;"2024";6358;"RIDEX";8
479;"2024";186;"DENCKERMANN";4
479;"2024";400;"RAICAM";5
479;"2024";2789;"NAPA Germany";172
479;"2024";6470;"MEC-DIESEL";2
479;"2024";4879;"KEY PARTS";5
479;"2024";6276;"HAMMER";1
479;"2024";55;"HERTH+BUSS JAKOPARTS";7136
479;"2024";286;"KAWE";198
479;"2024";6457;"PartsTec";5
479;"2024";248;"NIPPARTS";155
479;"2024";1138;"KLITECH";451
479;"2024";162;"VAICO";25
479;"2024";5377;"MOTRIO";3
479;"2024";128;"BE TURBO";6
479;"2024";327;"BorgWarner";250
479;"2024";4495;"AUGER";4
479;"2024";4598;"3RG";50
479;"2024";21;"VALEO";127234
479;"2024";350;"BLUE PRINT";37924
479;"2024";4376;"AUSTRALIAN CLUTCH";38
479;"2024";470;"MAPA";2307
479;"2024";4364;"ACKOJA";59
479;"2024";301;"TOPRAN";4
479;"2024";4358;"CLUTCHNUS";23
479;"2024";5251;"HART";7
479;"2024";209;"TRUCKTEC AUTOMOTIVE";8
479;"2024";208;"BIRTH";24
479;"2024";4380;"Omnicraft";1
479;"2024";32;"SACHS";257249
479;"2024";166;"AISIN";5286
479;"2024";399;"EXEDY";11072
479;"2024";4461;"KAISHIN";9
479;"2024";6444;"BorgWarner (AWD)";467
479;"2024";4595;"STELLOX";1
479;"2024";4694;"NEXUS";50
479;"2024";161;"TRW";108
479;"2024";6984;"Oyodo";60
479;"2024";3809;"KNORR-BREMSE";8
479;"2024";2235;"TQ";20
479;"2024";4828;"RYMEC";24733
479;"2024";257;"ASHIKA";353
479;"2024";294;"SACHS PERFORMANCE";172
479;"2024";433;"STATIM";15
479;"2024";4938;"FAST";7
479;"2024";854;"Motrio";1
479;"2024";3191;"Augustin Group";10
479;"2024";57;"QUINTON HAZELL";33
479;"2024";4501;"LUCAS";7
479;"2024";133;"MAPCO";13
479;"2024";4537;"APEC";2
479;"2024";-1;"Eigenmarken";31816
