GENART;LDATE;DLNR;DLNRBEZ;NARTNR;QTY_POS
479;"2024";6;"LuK";"600013600";1267
479;"2024";32;"SACHS";"3000836101";1025
479;"2024";156;"JAPANPARTS";"KF5021";10
479;"2024";6;"LuK";"600029600";818
479;"2024";6;"LuK";"600023000";1149
479;"2024";6;"LuK";"600023400";1196
479;"2024";6;"LuK";"600030000";283
479;"2024";6;"LuK";"622309635";2553
479;"2024";6;"LuK";"622323109";260
479;"2024";6;"LuK";"622342709";285
479;"2024";6;"LuK";"623332300";391
479;"2024";6;"LuK";"623353400";3799
479;"2024";6;"LuK";"624310100";383
479;"2024";6;"LuK";"624316234";371
479;"2024";21;"VALEO";"828019";81
479;"2024";21;"VALEO";"835159";476
479;"2024";21;"VALEO";"837119";713
479;"2024";32;"SACHS";"3000950005";1110
479;"2024";32;"SACHS";"3000950019";3149
479;"2024";32;"SACHS";"3000950630";427
479;"2024";32;"SACHS";"3000950680";387
479;"2024";32;"SACHS";"3000951051";2829
479;"2024";156;"JAPANPARTS";"KV200M";36
479;"2024";350;"BLUE PRINT";"ADC43025";237
479;"2024";156;"JAPANPARTS";"KFW07";105
479;"2024";475;"BORG & BECK";"HK6537";1
479;"2024";6;"LuK";"600017100";398
479;"2024";6;"LuK";"624324719";239
479;"2024";21;"VALEO";"828075";559
479;"2024";6;"LuK";"624329733";988
479;"2024";6;"LuK";"600016600";858
479;"2024";6;"LuK";"624322434";304
479;"2024";166;"AISIN";"KY027";8
479;"2024";6;"LuK";"620308600";1497
479;"2024";21;"VALEO";"826568";253
479;"2024";21;"VALEO";"827581";23
479;"2024";156;"JAPANPARTS";"KF5002";4
479;"2024";6;"LuK";"620309400";305
479;"2024";6;"LuK";"624308709";219
479;"2024";6;"LuK";"624335600";677
479;"2024";21;"VALEO";"786027";54
479;"2024";21;"VALEO";"821303";340
479;"2024";21;"VALEO";"826339";1091
479;"2024";21;"VALEO";"826731";114
479;"2024";21;"VALEO";"826793";48
479;"2024";21;"VALEO";"837522";711
479;"2024";32;"SACHS";"3000970047";354
479;"2024";32;"SACHS";"3000970069";2759
479;"2024";32;"SACHS";"3000970113";565
479;"2024";6;"LuK";"600014300";819
479;"2024";6;"LuK";"600021600";512
479;"2024";6;"LuK";"620301000";73
479;"2024";6;"LuK";"621063300";137
479;"2024";6;"LuK";"621304309";90
479;"2024";6;"LuK";"623324133";334
479;"2024";6;"LuK";"624355309";850
479;"2024";6;"LuK";"624395309";386
479;"2024";6;"LuK";"640301419";23
479;"2024";6;"LuK";"643342409";14
479;"2024";21;"VALEO";"821246";148
479;"2024";21;"VALEO";"826554";371
479;"2024";21;"VALEO";"826816";305
479;"2024";21;"VALEO";"828115";1
479;"2024";21;"VALEO";"834063";502
479;"2024";21;"VALEO";"834583";40
479;"2024";32;"SACHS";"3000950510";74
479;"2024";32;"SACHS";"3000950746";25
479;"2024";32;"SACHS";"3000970055";315
479;"2024";55;"HERTH+BUSS JAKOPARTS";"J2002348";574
479;"2024";350;"BLUE PRINT";"ADG03073";34
479;"2024";32;"SACHS";"3000203002";357
479;"2024";55;"HERTH+BUSS JAKOPARTS";"J2002355";150
479;"2024";6;"LuK";"624303434";686
479;"2024";32;"SACHS";"3000970054";221
479;"2024";32;"SACHS";"3000990437";445
479;"2024";32;"SACHS";"3000990523";716
479;"2024";350;"BLUE PRINT";"ADF1230141";9
479;"2024";21;"VALEO";"826521";2
479;"2024";6;"LuK";"624312709";73
479;"2024";6;"LuK";"625316509";577
479;"2024";156;"JAPANPARTS";"KF2093";25
479;"2024";21;"VALEO";"832507";82
479;"2024";156;"JAPANPARTS";"KFH13";1
479;"2024";399;"EXEDY";"SZK2012";242
479;"2024";21;"VALEO";"834385";18
479;"2024";156;"JAPANPARTS";"KF5006";76
479;"2024";6;"LuK";"624339700";96
479;"2024";6;"LuK";"622323609";392
479;"2024";6;"LuK";"623300100";590
479;"2024";6;"LuK";"623308400";572
479;"2024";6;"LuK";"624335233";508
479;"2024";21;"VALEO";"827479";126
479;"2024";32;"SACHS";"3000970148";341
479;"2024";156;"JAPANPARTS";"KF598";33
479;"2024";156;"JAPANPARTS";"KF822";12
479;"2024";6;"LuK";"622220509";315
479;"2024";156;"JAPANPARTS";"KF460";21
479;"2024";6;"LuK";"620317300";761
479;"2024";21;"VALEO";"832271";359
479;"2024";32;"SACHS";"3000317003";4
479;"2024";156;"JAPANPARTS";"KF2014";29
479;"2024";156;"JAPANPARTS";"KF835";71
479;"2024";156;"JAPANPARTS";"KFH12";13
479;"2024";32;"SACHS";"3000990232";292
479;"2024";32;"SACHS";"3400700460";21
479;"2024";6;"LuK";"624378509";101
479;"2024";127;"NK";"1347135";23
479;"2024";21;"VALEO";"821234";14
479;"2024";6;"LuK";"621301409";947
479;"2024";32;"SACHS";"3000990160";663
479;"2024";6;"LuK";"624375609";508
479;"2024";32;"SACHS";"3000951602";807
479;"2024";350;"BLUE PRINT";"ADK83064";190
479;"2024";127;"NK";"133947";25
479;"2024";127;"NK";"133423";8
