NORMSEARCHWORD;SUMMCNT;CNT_WITH_KART;CNT_NOT_FOUND;CNT_NO_KART;QTY_POS;GENART_QTY_POS;GENART_DLNR_QTY_POS;PERCENT_QTY_POS;U4_OE;SA200;SA203FF;IAM_GENART;GENARTNR;GENARTDESCR
"0000071776804";3;1;0;2;1;1;0;100;1;0;0;0;479;"Kupplungssatz"
"000170400";27;25;0;2;2;2;0;100;0;0;0;1;479;"Kupplungssatz"
"000180400";15;12;0;3;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"000185400";4;4;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"000185600";25;24;0;1;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"000190100";14;14;0;0;3;3;0;100;0;0;0;1;479;"Kupplungssatz"
"000210308";2;2;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"000210309";33;33;0;0;3;3;0;100;0;0;0;1;479;"Kupplungssatz"
"000210409";64;63;0;1;9;9;0;100;0;0;0;1;479;"Kupplungssatz"
"000210509";17;11;0;6;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"000220300";12;10;0;2;1;1;1;100;0;0;0;1;479;"Kupplungssatz"
"000220409";9;8;0;1;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"000220900";32;24;0;8;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"000228200";52;52;0;0;4;4;0;100;0;0;0;1;479;"Kupplungssatz"
"000228300";81;71;0;10;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"000228320";45;43;0;2;3;3;0;100;0;0;0;1;479;"Kupplungssatz"
"000235209";52;48;0;4;4;4;0;100;0;0;0;1;479;"Kupplungssatz"
"0002500900";1310;1194;15;101;118;118;107;100;1;0;1;0;479;"Kupplungssatz"
"000250090080";58;45;7;6;1;1;1;100;0;0;1;0;479;"Kupplungssatz"
"0002501000";321;159;24;138;6;6;5;100;0;0;1;0;479;"Kupplungssatz"
"0002521205";57;37;0;20;4;2;0;50;1;0;0;0;479;"Kupplungssatz"
"0002522111";45;38;3;4;1;1;0;100;1;0;0;0;479;"Kupplungssatz"
"0002522211";77;54;10;13;6;5;0;83,33;1;0;0;0;479;"Kupplungssatz"
"0002522905";23;21;0;2;1;1;0;100;1;0;1;0;479;"Kupplungssatz"
"0002523005";6;6;0;0;1;1;0;100;1;0;1;0;479;"Kupplungssatz"
"0002523105";11;11;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0002523205";28;23;0;5;2;2;1;100;1;0;1;0;479;"Kupplungssatz"
"0002523305";24;19;0;5;1;1;0;100;1;0;1;0;479;"Kupplungssatz"
"0002523311";105;98;6;1;4;4;2;100;1;0;1;0;479;"Kupplungssatz"
"0002523511";38;33;0;5;1;1;1;100;1;0;1;0;479;"Kupplungssatz"
"0002523611";68;63;0;5;4;4;2;100;1;0;1;0;479;"Kupplungssatz"
"0002524005";44;36;2;6;2;2;0;100;1;0;0;0;479;"Kupplungssatz"
"0002524511";5;5;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0002525205";62;56;0;6;3;3;0;100;1;0;0;0;479;"Kupplungssatz"
"0002526011";31;26;2;3;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0002526105";39;36;0;3;6;6;1;100;1;0;1;0;479;"Kupplungssatz"
"0002527105";31;27;0;4;1;1;0;100;1;0;1;0;479;"Kupplungssatz"
"0002527505";17;15;0;2;1;1;1;100;1;0;1;0;479;"Kupplungssatz"
"0002527711";40;37;3;0;3;3;0;100;0;0;0;0;479;"Kupplungssatz"
"0002540700";117;113;0;4;13;2;0;15,38;0;0;0;0;479;"Kupplungssatz"
"0002542608";259;255;0;4;10;1;0;10;0;0;0;0;479;"Kupplungssatz"
"0002542908";257;247;0;10;13;4;0;30,77;0;0;0;0;479;"Kupplungssatz"
"0003231V012000000";48;46;0;2;7;7;7;100;1;0;1;0;479;"Kupplungssatz"
"0003231V016000000";12;9;0;3;2;2;2;100;1;0;1;0;479;"Kupplungssatz"
"0005055";7;7;0;0;3;3;3;100;0;0;0;0;479;"Kupplungssatz"
"0009855V001000000";122;104;2;16;7;7;6;100;1;0;1;0;479;"Kupplungssatz"
"0009856V001000000";53;51;0;2;3;3;3;100;1;0;1;0;479;"Kupplungssatz"
"0009856V002000000";37;35;0;2;4;4;4;100;1;0;1;0;479;"Kupplungssatz"
"00114728";6;6;0;0;2;2;0;100;0;0;0;0;479;"Kupplungssatz"
"0011574280";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"001180100";32;32;0;0;5;5;0;100;0;0;0;1;479;"Kupplungssatz"
"001180600";2;2;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"001180900";18;18;0;0;2;2;0;100;0;0;0;1;479;"Kupplungssatz"
"001190733";16;1;0;15;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"001200300";8;8;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"001200500";3;3;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"001220000";80;72;0;8;5;5;0;100;0;0;0;1;479;"Kupplungssatz"
"001220109";11;11;0;0;2;2;0;100;0;0;0;1;479;"Kupplungssatz"
"001225409";26;24;0;2;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"001228600";61;55;0;6;5;5;0;100;0;0;0;1;479;"Kupplungssatz"
"001228620";56;56;0;0;2;2;0;100;0;0;0;1;479;"Kupplungssatz"
"001228800";101;97;0;4;5;5;0;100;0;0;0;1;479;"Kupplungssatz"
"001235400";47;47;0;0;2;2;0;100;0;0;0;1;479;"Kupplungssatz"
"001240109";7;7;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"0012500115";92;82;0;10;5;1;0;20;0;0;0;0;479;"Kupplungssatz"
"0012521905";27;27;0;0;1;1;0;100;0;0;1;0;479;"Kupplungssatz"
"0012523205";13;13;0;0;2;2;0;100;0;0;1;0;479;"Kupplungssatz"
"0012523305";18;18;0;0;1;1;0;100;1;0;1;0;479;"Kupplungssatz"
"0012525805";101;98;0;3;6;4;0;66,67;1;0;1;0;479;"Kupplungssatz"
"0012527105";69;60;1;8;4;4;1;100;1;0;0;0;479;"Kupplungssatz"
"001270943";20;16;0;4;2;2;0;100;0;0;0;0;479;"Kupplungssatz"
"0013797";5;4;1;0;2;2;0;100;0;0;0;0;479;"Kupplungssatz"
"0016436";4;2;2;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"002141165C";80;77;0;3;10;6;0;60;0;0;0;0;479;"Kupplungssatz"
"002141170";142;139;0;3;7;6;0;85,71;0;0;0;0;479;"Kupplungssatz"
"002170400";22;19;0;3;2;2;0;100;0;0;0;1;479;"Kupplungssatz"
"002180400";69;62;0;7;5;5;0;100;0;0;0;1;479;"Kupplungssatz"
"002180400MAP";6;6;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"002180700";19;18;0;1;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"002180800";84;84;0;0;15;15;0;100;0;0;0;1;479;"Kupplungssatz"
"002180900";66;66;0;0;15;15;0;100;0;0;0;1;479;"Kupplungssatz"
"002190109";52;52;0;0;7;7;0;100;0;0;0;1;479;"Kupplungssatz"
"002200009";214;207;1;6;37;37;0;100;0;0;0;1;479;"Kupplungssatz"
"002200100";25;25;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"0022500515";165;151;0;14;10;3;0;30;0;0;0;0;479;"Kupplungssatz"
"003180009";27;27;0;0;4;4;0;100;0;0;0;1;479;"Kupplungssatz"
"003180300";45;45;0;0;3;3;0;100;0;0;0;1;479;"Kupplungssatz"
"003180800";25;25;0;0;2;2;0;100;0;0;0;1;479;"Kupplungssatz"
"003190000";50;41;0;9;9;9;0;100;0;0;0;1;479;"Kupplungssatz"
