GENART;LDATE;LKZ;DLNR;DLNRBEZ;QTY_POS
402;"2026/2";"Germany";101;"FEBI BILSTEIN";17939
402;"2026/2";"Germany";6983;"ProfiPower";378
402;"2026/2";"Nordic";4587;"DANAHER";65
402;"2026/2";"West Europe";65;"BREMBO";1288
402;"2026/2";"West Europe";144;"MEYLE";2799
402;"2026/2";"West Europe";161;"TRW";3193
402;"2026/2";"West Europe";4821;"QUARO";5551
402;"2026/2";"West Europe";30;"BOSCH";722
402;"2026/2";"ROW";30;"BOSCH";2759
402;"2026/2";"ROW";39;"TEXTAR";10
402;"2026/2";"Croatia";101;"FEBI BILSTEIN";111
402;"2026/2";"Croatia";156;"JAPANPARTS";2704
402;"2026/2";"Portugal";65;"BREMBO";7987
402;"2026/2";"Germany";185;"KAMOKA";297
402;"2026/2";"Germany";12;"PAGID";47
402;"2026/2";"Austria";350;"BLUE PRINT";228
402;"2026/2";"SEE";421;"COMLINE";1639
402;"2026/2";"Austria";86;"ZIMMERMANN";17948
402;"2026/2";"B";39;"TEXTAR";5141
402;"2026/2";"N";403;"MAXGEAR";8273
402;"2026/2";"EEU";3;"ATE";3939
402;"2026/2";"Slovenia";161;"TRW";6546
402;"2026/2";"Other";30;"BOSCH";1859
402;"2026/2";"Other";2728;"ORIGINAL Schäferbarthold";192
402;"2026/2";"Switzerland";4546;"KRAFT AUTOMOTIVE";1
402;"2026/2";"West Europe";89;"DELPHI";16
402;"2026/2";"N";144;"MEYLE";2650
402;"2026/2";"N";350;"BLUE PRINT";245
402;"2026/2";"Croatia";21;"VALEO";506
402;"2026/2";"Balkan";421;"COMLINE";35
402;"2026/2";"Balkan";153;"REMSA";46
402;"2026/2";"Balkan";3;"ATE";3076
402;"2026/2";"B";161;"TRW";11170
402;"2026/2";"B";65;"BREMBO";2635
402;"2026/2";"West Europe";206;"A.B.S.";243
402;"2026/2";"Serbia";3;"ATE";6748
402;"2026/2";"Portugal";2;"HELLA";52
402;"2026/2";"Slovenia";30;"BOSCH";665
402;"2026/2";"EEU";161;"TRW";95
