GENART;LDATE;LKZ;DLNR;DLNRBEZ;QTY_POS
273;"2026/2";"SEE";156;"JAPANPARTS";2
273;"2026/2";"Other";350;"BLUE PRINT";14
273;"2026/2";"Nordic";6995;"Professional Parts";1
273;"2026/2";"B";6984;"Oyodo";3
273;"2026/2";"Other";201;"KAVO PARTS";2
273;"2026/2";"Germany";4938;"FAST";1
273;"2026/2";"Other";134;"MOOG";2
273;"2026/2";"SEE";127;"NK";4
273;"2026/2";"Balkan";4564;"MOTAQUIP";1
273;"2026/2";"EEU";95;"MAGNETI MARELLI";1
273;"2026/2";"West Europe";475;"BORG & BECK";334
273;"2026/2";"West Europe";407;"FIRST LINE";2020
273;"2026/2";"Balkan";55;"HERTH+BUSS JAKOPARTS";2
273;"2026/2";"Slovenia";4727;"FORMPART";78
273;"2026/2";"Serbia";55;"HERTH+BUSS JAKOPARTS";8
273;"2026/2";"Serbia";95;"MAGNETI MARELLI";12
273;"2026/2";"West Europe";6892;"REINHOCH";34
273;"2026/2";"N";129;"OPTIMAL";2077
273;"2026/2";"Slovenia";4675;"STARLINE";1
273;"2026/2";"Other";144;"MEYLE";17
273;"2026/2";"EEU";4727;"FORMPART";4
273;"2026/2";"Slovenia";6892;"REINHOCH";1
273;"2026/2";"Portugal";42;"DAYCO";1
273;"2026/2";"Austria";4391;"EUROREPAR";26
273;"2026/2";"Portugal";208;"BIRTH";4
273;"2026/2";"B";4727;"FORMPART";1
273;"2026/2";"Other";144;"MEYLE";10
273;"2026/2";"N";30;"BOSCH";6
273;"2026/2";"Germany";4683;"OSSCA";4
273;"2026/2";"ROW";144;"MEYLE";4
273;"2026/2";"Balkan";108;"TRISCAN";1
273;"2026/2";"Other";94;"METZGER";1
273;"2026/2";"B";135;"SIDEM";6
273;"2026/2";"Balkan";209;"TRUCKTEC AUTOMOTIVE";2
273;"2026/2";"Balkan";373;"GSP";1086
273;"2026/2";"West Europe";4758;"TALOSA";1
273;"2026/2";"Germany";6357;"Stark";1
273;"2026/2";"Other";144;"MEYLE";20
273;"2026/2";"Romania";205;"NRF";4
273;"2026/2";"Other";144;"MEYLE";2
273;"2026/2";"West Europe";55;"HERTH+BUSS JAKOPARTS";2
273;"2026/2";"Romania";4008;"MANDO";15
273;"2026/2";"Nordic";129;"OPTIMAL";587
273;"2026/2";"West Europe";30;"BOSCH";1
273;"2026/2";"Balkan";4969;"ESEN SKV";8
273;"2026/2";"Nordic";161;"TRW";27
273;"2026/2";"Nordic";201;"KAVO PARTS";1
273;"2026/2";"West Europe";4495;"AUGER";1
273;"2026/2";"Nordic";301;"TOPRAN";1
273;"2026/2";"SEE";301;"TOPRAN";1
273;"2026/2";"Other";206;"A.B.S.";1
273;"2026/2";"EEU";134;"MOOG";2
273;"2026/2";"West Europe";2728;"ORIGINAL Schäferbarthold";1
273;"2026/2";"Balkan";63;"PE Automotive";1
273;"2026/2";"Austria";4008;"MANDO";1
273;"2026/2";"Other";129;"OPTIMAL";15
273;"2026/2";"Other";135;"SIDEM";1
273;"2026/2";"West Europe";101;"FEBI BILSTEIN";5167
273;"2026/2";"EEU";101;"FEBI BILSTEIN";322
273;"2026/2";"EEU";403;"MAXGEAR";14090
273;"2026/2";"West Europe";35;"LEMFÖRDER";171
273;"2026/2";"West Europe";50;"SKF";137
273;"2026/2";"EEU";192;"FAG";1041
