GENART;LDATE;LKZ;DLNR;DLNRBEZ;NARTNR;QTY_POS
402;"2026/2";"EEU";161;"TRW";"GDB5072";13
402;"2026/2";"EEU";161;"TRW";"GDB980";1
402;"2026/2";"EEU";350;"BLUE PRINT";"ADBP420098";31
402;"2026/2";"EEU";350;"BLUE PRINT";"ADG042170";5
402;"2026/2";"EEU";350;"BLUE PRINT";"ADG042175";7
402;"2026/2";"EEU";350;"BLUE PRINT";"ADT342153";2
402;"2026/2";"EEU";403;"MAXGEAR";"190411";2
402;"2026/2";"EEU";403;"MAXGEAR";"190429";177
402;"2026/2";"EEU";403;"MAXGEAR";"190480";5
402;"2026/2";"EEU";403;"MAXGEAR";"190542";37
402;"2026/2";"EEU";403;"MAXGEAR";"190550";15
402;"2026/2";"EEU";403;"MAXGEAR";"190567";2
402;"2026/2";"EEU";403;"MAXGEAR";"190619";47
402;"2026/2";"EEU";403;"MAXGEAR";"190625";28
402;"2026/2";"EEU";403;"MAXGEAR";"190632";33
402;"2026/2";"EEU";403;"MAXGEAR";"190647";10
402;"2026/2";"EEU";403;"MAXGEAR";"190653";25
402;"2026/2";"EEU";403;"MAXGEAR";"190660";20
402;"2026/2";"EEU";403;"MAXGEAR";"190676";20
402;"2026/2";"SEE";48;"JURID";"2925305390";49
402;"2026/2";"Germany";65;"BREMBO";"P85144X";326
402;"2026/2";"Germany";161;"TRW";"GDB2042";1832
402;"2026/2";"Germany";65;"BREMBO";"P61101";20
402;"2026/2";"Germany";161;"TRW";"GDB1763";2263
402;"2026/2";"Germany";161;"TRW";"GDB1920";1029
402;"2026/2";"Germany";3;"ATE";"13046073142";1317
402;"2026/2";"Germany";65;"BREMBO";"P24061";1420
402;"2026/2";"Germany";65;"BREMBO";"P85146";1599
402;"2026/2";"Germany";161;"TRW";"GDB1766";379
402;"2026/2";"Germany";161;"TRW";"GDB2071";458
402;"2026/2";"Germany";6983;"ProfiPower";"1B1081";4
402;"2026/2";"Germany";3;"ATE";"13046026152";3078
402;"2026/2";"Germany";3;"ATE";"13046027852";20019
402;"2026/2";"Germany";65;"BREMBO";"P59088";107
402;"2026/2";"Nordic";4587;"DANAHER";"ADP0323";10
402;"2026/2";"ROW";65;"BREMBO";"P24061";14
402;"2026/2";"SEE";2;"HELLA";"8DB355005541";11
402;"2026/2";"SEE";2;"HELLA";"8DB355009411";22
402;"2026/2";"SEE";2;"HELLA";"8DB355009561";5
402;"2026/2";"SEE";2;"HELLA";"8DB355009741";26
402;"2026/2";"SEE";2;"HELLA";"8DB355011191";209
402;"2026/2";"SEE";2;"HELLA";"8DB355012351";50
402;"2026/2";"SEE";2;"HELLA";"8DB355012781";7
402;"2026/2";"SEE";2;"HELLA";"8DB355013411";16
402;"2026/2";"SEE";39;"TEXTAR";"2405801";14
402;"2026/2";"SEE";39;"TEXTAR";"2410101";48
402;"2026/2";"SEE";39;"TEXTAR";"2417001";44
402;"2026/2";"SEE";39;"TEXTAR";"2435101";32
402;"2026/2";"SEE";39;"TEXTAR";"2440903";43
402;"2026/2";"SEE";39;"TEXTAR";"2445201";33
402;"2026/2";"SEE";39;"TEXTAR";"2446501";34
402;"2026/2";"SEE";39;"TEXTAR";"2456301";71
402;"2026/2";"SEE";39;"TEXTAR";"2467301";13
402;"2026/2";"SEE";39;"TEXTAR";"2488501";45
402;"2026/2";"West Europe";30;"BOSCH";"0986424596";5
402;"2026/2";"West Europe";403;"MAXGEAR";"190579";28
402;"2026/2";"West Europe";403;"MAXGEAR";"190673";77
402;"2026/2";"West Europe";403;"MAXGEAR";"190676";10
402;"2026/2";"West Europe";403;"MAXGEAR";"191992";260
402;"2026/2";"West Europe";30;"BOSCH";"0986460016";1
402;"2026/2";"B";3;"ATE";"13046026502";4
402;"2026/2";"B";3;"ATE";"13046027092";12
402;"2026/2";"B";3;"ATE";"13046027322";7
402;"2026/2";"B";3;"ATE";"13046055332";1
402;"2026/2";"B";3;"ATE";"13046055572";1
402;"2026/2";"B";3;"ATE";"13046057912";1
402;"2026/2";"B";3;"ATE";"13046071112";47
402;"2026/2";"Germany";3;"ATE";"13046048392";38
402;"2026/2";"Germany";3;"ATE";"13046056642";431
402;"2026/2";"Spain";7097;"Fahren";"FBP3357";2
402;"2026/2";"Germany";30;"BOSCH";"0986494659";12090
402;"2026/2";"Germany";39;"TEXTAR";"2355402";6189
402;"2026/2";"Germany";55;"HERTH+BUSS JAKOPARTS";"J3613002";230
402;"2026/2";"SEE";65;"BREMBO";"P61103";238
402;"2026/2";"SEE";65;"BREMBO";"P68032";4
402;"2026/2";"SEE";65;"BREMBO";"P68064";28
402;"2026/2";"SEE";65;"BREMBO";"P83071";39
402;"2026/2";"SEE";65;"BREMBO";"P85031";17
402;"2026/2";"SEE";65;"BREMBO";"P85075";68
402;"2026/2";"SEE";65;"BREMBO";"P85145";28
402;"2026/2";"SEE";65;"BREMBO";"P85154";20
402;"2026/2";"SEE";65;"BREMBO";"P86027";36
402;"2026/2";"SEE";89;"DELPHI";"LP1231";4
402;"2026/2";"SEE";89;"DELPHI";"LP1676";20
402;"2026/2";"SEE";89;"DELPHI";"LP1724";13
402;"2026/2";"SEE";89;"DELPHI";"LP1745";22
402;"2026/2";"Germany";3;"ATE";"13046073772";1123
402;"2026/2";"ROW";403;"MAXGEAR";"190647";1
402;"2026/2";"ROW";403;"MAXGEAR";"190884";1
402;"2026/2";"ROW";403;"MAXGEAR";"191818";1
402;"2026/2";"Germany";3;"ATE";"13046028852";695
402;"2026/2";"Germany";3;"ATE";"13046039792";845
402;"2026/2";"Germany";3;"ATE";"13046072172";2174
402;"2026/2";"Germany";3;"ATE";"13046073362";604
402;"2026/2";"Germany";55;"HERTH+BUSS JAKOPARTS";"J3608002";35
402;"2026/2";"Germany";161;"TRW";"GDB1330";12671
402;"2026/2";"Germany";161;"TRW";"GDB1670";285
402;"2026/2";"Germany";161;"TRW";"GDB2169";379
402;"2026/2";"EEU";3;"ATE";"13046026212";1
402;"2026/2";"EEU";3;"ATE";"13046027492";15
402;"2026/2";"EEU";3;"ATE";"13046071932";7
402;"2026/2";"EEU";3;"ATE";"13046073032";4
402;"2026/2";"EEU";3;"ATE";"13046073312";6
402;"2026/2";"Germany";54;"FTE";"9010610";6
402;"2026/2";"Germany";161;"TRW";"GDB1288";52
402;"2026/2";"Germany";161;"TRW";"GDB1982";400
402;"2026/2";"Germany";350;"BLUE PRINT";"ADT342229";4
402;"2026/2";"ROW";30;"BOSCH";"0986424860";3
402;"2026/2";"ROW";30;"BOSCH";"0986494940";30
402;"2026/2";"ROW";30;"BOSCH";"0986495351";1
402;"2026/2";"ROW";30;"BOSCH";"0986495425";3
402;"2026/2";"Germany";3;"ATE";"13046026282";280
402;"2026/2";"SEE";2;"HELLA";"8DB355018111";536
402;"2026/2";"SEE";2;"HELLA";"8DB355020191";242
402;"2026/2";"SEE";2;"HELLA";"8DB355023131";56
402;"2026/2";"SEE";2;"HELLA";"8DB355025381";47
402;"2026/2";"SEE";2;"HELLA";"8DB355039421";10
402;"2026/2";"SEE";2;"HELLA";"8DB355040921";1
402;"2026/2";"SEE";2;"HELLA";"8DB355040981";22
402;"2026/2";"SEE";2;"HELLA";"8DB355045961";18
402;"2026/2";"SEE";30;"BOSCH";"0986424379";87
402;"2026/2";"SEE";30;"BOSCH";"0986424386";23
402;"2026/2";"SEE";30;"BOSCH";"0986424416";6
402;"2026/2";"SEE";30;"BOSCH";"0986424825";31
402;"2026/2";"SEE";30;"BOSCH";"0986466683";30
402;"2026/2";"SEE";30;"BOSCH";"0986494008";1
402;"2026/2";"SEE";30;"BOSCH";"0986494011";13
402;"2026/2";"SEE";30;"BOSCH";"0986494050";20
402;"2026/2";"SEE";30;"BOSCH";"0986494064";63
402;"2026/2";"SEE";30;"BOSCH";"0986494065";109
402;"2026/2";"SEE";30;"BOSCH";"0986494563";163
402;"2026/2";"SEE";30;"BOSCH";"0986494573";140
402;"2026/2";"SEE";30;"BOSCH";"0986494747";28
402;"2026/2";"SEE";30;"BOSCH";"0986494845";69
402;"2026/2";"SEE";65;"BREMBO";"P06025";34
402;"2026/2";"Germany";55;"HERTH+BUSS JAKOPARTS";"J3600341";111
402;"2026/2";"Germany";55;"HERTH+BUSS JAKOPARTS";"J3600539";168
402;"2026/2";"Germany";55;"HERTH+BUSS JAKOPARTS";"J3600915";64
402;"2026/2";"Germany";55;"HERTH+BUSS JAKOPARTS";"J3602064";29
402;"2026/2";"Germany";55;"HERTH+BUSS JAKOPARTS";"J3602119";570
402;"2026/2";"Germany";55;"HERTH+BUSS JAKOPARTS";"J3603072";239
402;"2026/2";"ROW";197;"LPR";"05P1409";26
402;"2026/2";"ROW";197;"LPR";"05P1416";15
402;"2026/2";"ROW";197;"LPR";"05P1461";7
402;"2026/2";"ROW";197;"LPR";"05P1484";70
402;"2026/2";"ROW";197;"LPR";"05P1494";18
402;"2026/2";"ROW";197;"LPR";"05P1500";39
402;"2026/2";"ROW";197;"LPR";"05P1548";8
402;"2026/2";"ROW";197;"LPR";"05P1560";15
402;"2026/2";"ROW";197;"LPR";"05P1573";8
402;"2026/2";"ROW";197;"LPR";"05P1597";3
402;"2026/2";"ROW";197;"LPR";"05P1653";77
402;"2026/2";"ROW";197;"LPR";"05P1667";5
402;"2026/2";"ROW";197;"LPR";"05P1734";68
402;"2026/2";"ROW";197;"LPR";"05P1736";8
402;"2026/2";"ROW";197;"LPR";"05P1737";23
402;"2026/2";"ROW";62;"FERODO";"FDB4316";42
402;"2026/2";"ROW";62;"FERODO";"FDB4907";51
402;"2026/2";"ROW";62;"FERODO";"FDB4921";1
402;"2026/2";"ROW";62;"FERODO";"FDB4927";22
402;"2026/2";"Germany";62;"FERODO";"FDB4235";16
402;"2026/2";"Germany";62;"FERODO";"FDB4984";51
402;"2026/2";"Germany";62;"FERODO";"FVR1644";895
402;"2026/2";"Germany";62;"FERODO";"FVR4348";253
402;"2026/2";"Germany";62;"FERODO";"FDB1094";1412
402;"2026/2";"Portugal";89;"DELPHI";"LP1409";1
402;"2026/2";"Portugal";350;"BLUE PRINT";"ADP154214";32
402;"2026/2";"Croatia";121;"METELLI";"2210370";7
402;"2026/2";"Croatia";144;"MEYLE";"0252910720W";3
402;"2026/2";"Croatia";156;"JAPANPARTS";"PA205AF";10
402;"2026/2";"Croatia";156;"JAPANPARTS";"PA212AF";2
402;"2026/2";"Croatia";156;"JAPANPARTS";"PA230AF";11
402;"2026/2";"Croatia";156;"JAPANPARTS";"PA300AF";25
402;"2026/2";"Croatia";156;"JAPANPARTS";"PA491AF";12
402;"2026/2";"Croatia";156;"JAPANPARTS";"PA800AF";17
402;"2026/2";"Croatia";156;"JAPANPARTS";"PAH23AF";21
402;"2026/2";"Croatia";156;"JAPANPARTS";"PAH24AF";1
402;"2026/2";"Croatia";156;"JAPANPARTS";"PAW13AF";19
402;"2026/2";"Croatia";156;"JAPANPARTS";"PPH14AF";8
402;"2026/2";"Croatia";161;"TRW";"GDB1386";195
402;"2026/2";"Croatia";161;"TRW";"GDB1535";15
402;"2026/2";"Croatia";161;"TRW";"GDB1546";36
402;"2026/2";"Croatia";161;"TRW";"GDB1559";22
402;"2026/2";"Croatia";161;"TRW";"GDB1561";4
402;"2026/2";"Croatia";161;"TRW";"GDB1611";45
402;"2026/2";"Croatia";161;"TRW";"GDB1725";13
402;"2026/2";"Croatia";161;"TRW";"GDB1738";35
402;"2026/2";"Croatia";161;"TRW";"GDB1786";95
402;"2026/2";"Croatia";161;"TRW";"GDB1791";67
402;"2026/2";"Croatia";161;"TRW";"GDB1838";10
402;"2026/2";"Croatia";161;"TRW";"GDB1841";53
402;"2026/2";"Croatia";161;"TRW";"GDB1919";137
402;"2026/2";"Croatia";161;"TRW";"GDB1934";63
402;"2026/2";"Croatia";161;"TRW";"GDB1967";35
402;"2026/2";"Croatia";161;"TRW";"GDB2029";6
402;"2026/2";"Croatia";161;"TRW";"GDB2035";21
402;"2026/2";"Croatia";161;"TRW";"GDB2050";40
402;"2026/2";"West Europe";403;"MAXGEAR";"192175";25
402;"2026/2";"West Europe";403;"MAXGEAR";"192878";5
402;"2026/2";"West Europe";403;"MAXGEAR";"192995";2
402;"2026/2";"West Europe";403;"MAXGEAR";"193010";9
402;"2026/2";"West Europe";403;"MAXGEAR";"193016";30
402;"2026/2";"West Europe";403;"MAXGEAR";"193026";13
402;"2026/2";"West Europe";403;"MAXGEAR";"193031";17
402;"2026/2";"West Europe";403;"MAXGEAR";"193039";5
402;"2026/2";"West Europe";403;"MAXGEAR";"193324";20
402;"2026/2";"Germany";39;"TEXTAR";"2146306";66
402;"2026/2";"Germany";39;"TEXTAR";"2166404";69
402;"2026/2";"Germany";39;"TEXTAR";"2207001";24
402;"2026/2";"Germany";39;"TEXTAR";"2211701";78
402;"2026/2";"Germany";39;"TEXTAR";"2222701";103
402;"2026/2";"Germany";39;"TEXTAR";"2223103";769
402;"2026/2";"Germany";39;"TEXTAR";"2242901";17
402;"2026/2";"Germany";39;"TEXTAR";"2252501";312
402;"2026/2";"Germany";39;"TEXTAR";"2266001";38
402;"2026/2";"Germany";39;"TEXTAR";"2304301";3
402;"2026/2";"Germany";39;"TEXTAR";"2332602";1211
402;"2026/2";"Germany";39;"TEXTAR";"2365201";26
402;"2026/2";"Germany";39;"TEXTAR";"2372301";1203
402;"2026/2";"Germany";39;"TEXTAR";"2391201";55
402;"2026/2";"Germany";39;"TEXTAR";"2392201";67
402;"2026/2";"Germany";39;"TEXTAR";"2398001";553
402;"2026/2";"Germany";39;"TEXTAR";"2453703";338
402;"2026/2";"Germany";39;"TEXTAR";"2519901";504
402;"2026/2";"Germany";39;"TEXTAR";"2573401";16
402;"2026/2";"Germany";39;"TEXTAR";"2573601";399
402;"2026/2";"Germany";39;"TEXTAR";"2596501";321
402;"2026/2";"Germany";30;"BOSCH";"0986494502";54
402;"2026/2";"Germany";30;"BOSCH";"0986494581";534
402;"2026/2";"Germany";30;"BOSCH";"0986494593";857
402;"2026/2";"Germany";30;"BOSCH";"0986494631";148
402;"2026/2";"Germany";30;"BOSCH";"0986494636";67
402;"2026/2";"Germany";30;"BOSCH";"0986494641";399
402;"2026/2";"Germany";30;"BOSCH";"0986494647";262
402;"2026/2";"Germany";30;"BOSCH";"0986494651";258
402;"2026/2";"Germany";30;"BOSCH";"0986494692";335
402;"2026/2";"Switzerland";3;"ATE";"13047072642";10
402;"2026/2";"Switzerland";65;"BREMBO";"07YA09CC";1
402;"2026/2";"Switzerland";65;"BREMBO";"P06070";23
402;"2026/2";"Switzerland";65;"BREMBO";"P23146";45
402;"2026/2";"Switzerland";65;"BREMBO";"P56061";33
402;"2026/2";"Switzerland";65;"BREMBO";"P59077";69
402;"2026/2";"Switzerland";65;"BREMBO";"P61068";15
402;"2026/2";"Switzerland";65;"BREMBO";"P78013";77
402;"2026/2";"Switzerland";65;"BREMBO";"P85075";112
402;"2026/2";"Switzerland";65;"BREMBO";"P85125";322
402;"2026/2";"Switzerland";65;"BREMBO";"P85147";56
402;"2026/2";"Switzerland";65;"BREMBO";"P85165";94
402;"2026/2";"Germany";3;"ATE";"13046072652";386
402;"2026/2";"Germany";101;"FEBI BILSTEIN";"16472";78
402;"2026/2";"Germany";161;"TRW";"GDB1481";1386
402;"2026/2";"Germany";161;"TRW";"GDB1622";2473
402;"2026/2";"Germany";161;"TRW";"GDB2096";1027
402;"2026/2";"Germany";161;"TRW";"GDB2099";659
402;"2026/2";"Germany";161;"TRW";"GDB2115";1591
402;"2026/2";"Germany";39;"TEXTAR";"2615301";78
402;"2026/2";"Germany";39;"TEXTAR";"2619601";144
402;"2026/2";"Germany";39;"TEXTAR";"2648701";75
402;"2026/2";"Germany";39;"TEXTAR";"2923201";36
402;"2026/2";"Germany";55;"HERTH+BUSS JAKOPARTS";"J3600359";22
402;"2026/2";"Germany";55;"HERTH+BUSS JAKOPARTS";"J3600812";141
402;"2026/2";"Germany";55;"HERTH+BUSS JAKOPARTS";"J3600914";175
402;"2026/2";"Germany";55;"HERTH+BUSS JAKOPARTS";"J3601014";5
402;"2026/2";"Germany";55;"HERTH+BUSS JAKOPARTS";"J3601037";8
402;"2026/2";"Austria";3;"ATE";"13046026052";64
402;"2026/2";"Austria";3;"ATE";"13046026262";7
402;"2026/2";"Austria";3;"ATE";"13046027852";980
402;"2026/2";"Germany";39;"TEXTAR";"2191901";241
402;"2026/2";"Germany";3;"ATE";"13046070782";162
402;"2026/2";"Germany";3;"ATE";"13046071382";20
402;"2026/2";"Germany";3;"ATE";"13046071672";165
402;"2026/2";"Germany";3;"ATE";"13046072622";808
402;"2026/2";"Germany";3;"ATE";"13046072782";101
402;"2026/2";"Germany";3;"ATE";"13046072842";285
402;"2026/2";"Germany";3;"ATE";"13046072982";2755
402;"2026/2";"Germany";3;"ATE";"13046073252";1544
402;"2026/2";"Germany";3;"ATE";"13046073292";2261
402;"2026/2";"Germany";3;"ATE";"13046073342";336
402;"2026/2";"Germany";3;"ATE";"13046080052";22
402;"2026/2";"Germany";3;"ATE";"13047026742";11
402;"2026/2";"Germany";3;"ATE";"13047027802";13
402;"2026/2";"Germany";3;"ATE";"13047038572";84
402;"2026/2";"Germany";3;"ATE";"13047048822";113
402;"2026/2";"Germany";30;"BOSCH";"0986424021";999
402;"2026/2";"Germany";30;"BOSCH";"0986424125";54
402;"2026/2";"Germany";30;"BOSCH";"0986424218";70
402;"2026/2";"Germany";30;"BOSCH";"0986424335";555
402;"2026/2";"Germany";30;"BOSCH";"0986424363";3
402;"2026/2";"Nordic";4587;"DANAHER";"ADP001204";12
402;"2026/2";"Nordic";4587;"DANAHER";"ADP0039";4
402;"2026/2";"Nordic";4587;"DANAHER";"ADP0061";7
402;"2026/2";"Nordic";4587;"DANAHER";"ADP006308";1
402;"2026/2";"Nordic";4587;"DANAHER";"ADP0179";10
402;"2026/2";"Nordic";4587;"DANAHER";"ADP0187";4
402;"2026/2";"Nordic";4587;"DANAHER";"ADP0390";2
402;"2026/2";"Nordic";4587;"DANAHER";"ADP0628";3
402;"2026/2";"Nordic";4587;"DANAHER";"ADP0806";5
402;"2026/2";"Germany";55;"HERTH+BUSS JAKOPARTS";"J3601076";244
402;"2026/2";"Germany";55;"HERTH+BUSS JAKOPARTS";"J3608009";17
402;"2026/2";"Germany";55;"HERTH+BUSS JAKOPARTS";"J3610303";158
402;"2026/2";"Germany";55;"HERTH+BUSS JAKOPARTS";"J3610310";152
402;"2026/2";"Germany";55;"HERTH+BUSS JAKOPARTS";"J3612047";161
402;"2026/2";"Germany";55;"HERTH+BUSS JAKOPARTS";"J3614016";110
402;"2026/2";"Germany";108;"TRISCAN";"811025010";13
402;"2026/2";"Germany";108;"TRISCAN";"811038009";9
402;"2026/2";"Germany";144;"MEYLE";"0252341715W";89
402;"2026/2";"Germany";144;"MEYLE";"0252448617W";14
402;"2026/2";"Germany";161;"TRW";"GDB1785";594
402;"2026/2";"Germany";161;"TRW";"GDB611";8
