GENART;LDATE;LKZ;DLNR;DLNRBEZ;QTY_POS
854;"2026/2";"Germany";108;"TRISCAN";1962
854;"2026/2";"N";32;"SACHS";4446
854;"2026/2";"ROW";1231;"_del_Partslife";7319
854;"2026/2";"Nordic";95;"MAGNETI MARELLI";104
854;"2026/2";"EEU";85;"KYB";4350
854;"2026/2";"B";101;"FEBI BILSTEIN";222
854;"2026/2";"Other";37;"MONROE";9
854;"2026/2";"EEU";4815;"Borsehung";9
854;"2026/2";"Austria";403;"MAXGEAR";1146
854;"2026/2";"ROW";14;"BOGE";709
854;"2026/2";"Balkan";16;"BILSTEIN";108
854;"2026/2";"Slovenia";257;"ASHIKA";13
854;"2026/2";"Switzerland";156;"JAPANPARTS";45
854;"2026/2";"Switzerland";403;"MAXGEAR";194
854;"2026/2";"EEU";32;"SACHS";6483
854;"2026/2";"EEU";156;"JAPANPARTS";334
854;"2026/2";"Other";257;"ASHIKA";1
854;"2026/2";"Nordic";6984;"Oyodo";46
854;"2026/2";"ROW";4731;"LTM";1
854;"2026/2";"Croatia";85;"KYB";7075
854;"2026/2";"Germany";268;"JP GROUP";75
854;"2026/2";"Other";85;"KYB";117
854;"2026/2";"Balkan";144;"MEYLE";465
854;"2026/2";"Nordic";156;"JAPANPARTS";598
854;"2026/2";"Other";403;"MAXGEAR";82
854;"2026/2";"Spain";144;"MEYLE";82
854;"2026/2";"Portugal";32;"SACHS";8530
854;"2026/2";"Other";37;"MONROE";22
854;"2026/2";"Slovenia";201;"KAVO PARTS";4
854;"2026/2";"Other";156;"JAPANPARTS";1
854;"2026/2";"Portugal";144;"MEYLE";33
854;"2026/2";"Other";85;"KYB";3
854;"2026/2";"EEU";95;"MAGNETI MARELLI";20
854;"2026/2";"Nordic";32;"SACHS";423
854;"2026/2";"Nordic";37;"MONROE";811
854;"2026/2";"Nordic";95;"MAGNETI MARELLI";6
854;"2026/2";"West Europe";248;"NIPPARTS";53
854;"2026/2";"Germany";4346;"vika";5
854;"2026/2";"Germany";4815;"Borsehung";2
854;"2026/2";"Nordic";201;"KAVO PARTS";28
854;"2026/2";"Other";37;"MONROE";20
854;"2026/2";"Austria";4674;"FEBEST";4
854;"2026/2";"SEE";4731;"LTM";1
854;"2026/2";"Other";37;"MONROE";5
854;"2026/2";"Nordic";95;"MAGNETI MARELLI";18
854;"2026/2";"Other";403;"MAXGEAR";12
854;"2026/2";"Other";257;"ASHIKA";12
854;"2026/2";"Nordic";4495;"AUGER";3
854;"2026/2";"Other";37;"MONROE";2
854;"2026/2";"SEE";156;"JAPANPARTS";1
854;"2026/2";"Germany";6003;"VITAL SUSPENSIONS";9
854;"2026/2";"Other";95;"MAGNETI MARELLI";24
854;"2026/2";"Other";144;"MEYLE";15
854;"2026/2";"ROW";4395;"GOLD";2
854;"2026/2";"ROW";4576;"ASAM";1
854;"2026/2";"Austria";55;"HERTH+BUSS JAKOPARTS";182
854;"2026/2";"SEE";4674;"FEBEST";3
854;"2026/2";"Nordic";101;"FEBI BILSTEIN";5
854;"2026/2";"Nordic";101;"FEBI BILSTEIN";3
854;"2026/2";"EEU";403;"MAXGEAR";3
854;"2026/2";"Nordic";209;"TRUCKTEC AUTOMOTIVE";2
854;"2026/2";"Balkan";16;"BILSTEIN";1200
854;"2026/2";"EEU";101;"FEBI BILSTEIN";2
854;"2026/2";"Nordic";373;"GSP";4
854;"2026/2";"Other";156;"JAPANPARTS";1
854;"2026/2";"Balkan";2888;"Miessler Automotive";2
854;"2026/2";"West Europe";4869;"RED-LINE";44
854;"2026/2";"EEU";101;"FEBI BILSTEIN";3
854;"2026/2";"B";6479;"DACO Germany";3
854;"2026/2";"Spain";95;"MAGNETI MARELLI";1
854;"2026/2";"Nordic";95;"MAGNETI MARELLI";1
854;"2026/2";"Austria";18;"KONI";21
854;"2026/2";"Switzerland";248;"NIPPARTS";1
854;"2026/2";"West Europe";14;"BOGE";1
854;"2026/2";"Other";209;"TRUCKTEC AUTOMOTIVE";1
854;"2026/2";"West Europe";127;"NK";115
854;"2026/2";"N";129;"OPTIMAL";393
854;"2026/2";"Romania";162;"VAICO";4
854;"2026/2";"Slovenia";4675;"STARLINE";22
854;"2026/2";"West Europe";127;"NK";309
854;"2026/2";"Other";4346;"vika";15
854;"2026/2";"Serbia";4948;"Dr!ve+";1629
854;"2026/2";"Balkan";481;"JAPKO";144
854;"2026/2";"Croatia";2888;"Miessler Automotive";8
854;"2026/2";"Croatia";268;"JP GROUP";27
854;"2026/2";"Other";144;"MEYLE";5
854;"2026/2";"Slovenia";4539;"Arnott";11
854;"2026/2";"Portugal";95;"MAGNETI MARELLI";4
854;"2026/2";"Balkan";14;"BOGE";4
854;"2026/2";"Portugal";4395;"GOLD";8
854;"2026/2";"Other";16;"BILSTEIN";13
854;"2026/2";"Balkan";55;"HERTH+BUSS JAKOPARTS";10
854;"2026/2";"Serbia";4595;"STELLOX";1
854;"2026/2";"Switzerland";162;"VAICO";2
854;"2026/2";"Austria";110;"SNR";2
854;"2026/2";"Serbia";14;"BOGE";4
854;"2026/2";"Other";4657;"ABAKUS";1
854;"2026/2";"Austria";4391;"EUROREPAR";11
854;"2026/2";"Serbia";156;"JAPANPARTS";18
854;"2026/2";"Other";4539;"Arnott";5
854;"2026/2";"Portugal";248;"NIPPARTS";3
854;"2026/2";"N";529;"SAUER QUALITY PARTS";1
854;"2026/2";"Other";144;"MEYLE";6
854;"2026/2";"Germany";4570;"Maysan Mando";1
854;"2026/2";"Spain";4773;"MDR";2
854;"2026/2";"Germany";355;"DT Spare Parts";36
854;"2026/2";"Other";32;"SACHS";2
