GENART;LDATE;LKZ;DLNR;DLNRBEZ;QTY_POS
914;"2026/2";"West Europe";108;"TRISCAN";97
914;"2026/2";"Germany";101;"FEBI BILSTEIN";27422
914;"2026/2";"Germany";2789;"NAPA Germany";3112
914;"2026/2";"West Europe";6984;"Oyodo";39
914;"2026/2";"Nordic";101;"FEBI BILSTEIN";104
914;"2026/2";"B";35;"LEMFÖRDER";257
914;"2026/2";"B";144;"MEYLE";1440
914;"2026/2";"Nordic";35;"LEMFÖRDER";122
914;"2026/2";"Austria";4564;"MOTAQUIP";210
914;"2026/2";"Croatia";85;"KYB";92
914;"2026/2";"Croatia";134;"MOOG";140
914;"2026/2";"Germany";108;"TRISCAN";1994
914;"2026/2";"Germany";403;"MAXGEAR";6119
914;"2026/2";"Germany";129;"OPTIMAL";20865
914;"2026/2";"EEU";144;"MEYLE";13015
914;"2026/2";"SEE";89;"DELPHI";2182
914;"2026/2";"SEE";201;"KAVO PARTS";495
914;"2026/2";"SEE";403;"MAXGEAR";16
914;"2026/2";"Croatia";127;"NK";77
914;"2026/2";"Croatia";4821;"QUARO";33
914;"2026/2";"Nordic";101;"FEBI BILSTEIN";221
914;"2026/2";"ROW";4758;"TALOSA";2124
914;"2026/2";"West Europe";430;"RTS";16
914;"2026/2";"Balkan";2235;"TQ";2
914;"2026/2";"Nordic";192;"FAG";397
914;"2026/2";"Balkan";101;"FEBI BILSTEIN";556
914;"2026/2";"Nordic";192;"FAG";47
914;"2026/2";"Austria";403;"MAXGEAR";420
914;"2026/2";"Slovenia";129;"OPTIMAL";55
914;"2026/2";"Switzerland";35;"LEMFÖRDER";1995
914;"2026/2";"Germany";430;"RTS";7
914;"2026/2";"Balkan";134;"MOOG";287
914;"2026/2";"Other";373;"GSP";18
914;"2026/2";"West Europe";301;"TOPRAN";12
914;"2026/2";"Slovenia";55;"HERTH+BUSS JAKOPARTS";5
914;"2026/2";"Serbia";421;"COMLINE";306
914;"2026/2";"Romania";144;"MEYLE";1178
914;"2026/2";"EEU";156;"JAPANPARTS";15
914;"2026/2";"Spain";35;"LEMFÖRDER";247
914;"2026/2";"Spain";89;"DELPHI";182
914;"2026/2";"Other";57;"QUINTON HAZELL";562
