GENART;LDATE;LKZ;DLNR;DLNRBEZ;QTY_POS
82;"2026/2";"Germany";161;"TRW";160415
82;"2026/2";"EEU";4821;"QUARO";236
82;"2026/2";"Germany";65;"BREMBO";175843
82;"2026/2";"Germany";101;"FEBI BILSTEIN";19848
82;"2026/2";"Austria";94;"METZGER";9
82;"2026/2";"Croatia";151;"SWAG";1092
82;"2026/2";"Nordic";30;"BOSCH";561
82;"2026/2";"Germany";4546;"KRAFT AUTOMOTIVE";41
82;"2026/2";"ROW";201;"KAVO PARTS";111
82;"2026/2";"Croatia";197;"LPR";3658
82;"2026/2";"Austria";185;"KAMOKA";93
82;"2026/2";"Germany";48;"JURID";2748
82;"2026/2";"Switzerland";350;"BLUE PRINT";117
82;"2026/2";"SEE";373;"GSP";77
82;"2026/2";"SEE";4623;"SAMPA";106
82;"2026/2";"Balkan";62;"FERODO";104
82;"2026/2";"EEU";30;"BOSCH";4821
82;"2026/2";"EEU";50;"SKF";57
82;"2026/2";"EEU";161;"TRW";11890
82;"2026/2";"N";3;"ATE";26308
82;"2026/2";"Nordic";3;"ATE";374
82;"2026/2";"Nordic";289;"BRECO";2149
82;"2026/2";"Slovenia";144;"MEYLE";80
82;"2026/2";"Slovenia";161;"TRW";2777
82;"2026/2";"SEE";30;"BOSCH";428
82;"2026/2";"Croatia";421;"COMLINE";81
82;"2026/2";"Nordic";403;"MAXGEAR";3645
82;"2026/2";"Switzerland";108;"TRISCAN";94
82;"2026/2";"B";50;"SKF";51
82;"2026/2";"Balkan";197;"LPR";66
82;"2026/2";"Germany";156;"JAPANPARTS";36
82;"2026/2";"N";39;"TEXTAR";786
82;"2026/2";"Serbia";39;"TEXTAR";7931
82;"2026/2";"Romania";4821;"QUARO";230
82;"2026/2";"Austria";89;"DELPHI";1611
82;"2026/2";"EEU";4821;"QUARO";105
82;"2026/2";"SEE";144;"MEYLE";11
82;"2026/2";"West Europe";373;"GSP";5
82;"2026/2";"EEU";403;"MAXGEAR";687
82;"2026/2";"Croatia";121;"METELLI";4
82;"2026/2";"West Europe";350;"BLUE PRINT";261
82;"2026/2";"West Europe";89;"DELPHI";120
82;"2026/2";"Croatia";127;"NK";31
82;"2026/2";"Other";30;"BOSCH";587
82;"2026/2";"Other";65;"BREMBO";305
82;"2026/2";"Austria";48;"JURID";6160
82;"2026/2";"Nordic";4821;"QUARO";89
82;"2026/2";"Nordic";409;"FREMAX";63
82;"2026/2";"Spain";403;"MAXGEAR";45
82;"2026/2";"SEE";65;"BREMBO";4
82;"2026/2";"EEU";63;"PE Automotive";12
82;"2026/2";"SEE";151;"SWAG";4
82;"2026/2";"Nordic";101;"FEBI BILSTEIN";217
82;"2026/2";"Nordic";185;"KAMOKA";7
82;"2026/2";"Nordic";6479;"DACO Germany";27
82;"2026/2";"Germany";373;"GSP";4
82;"2026/2";"SEE";403;"MAXGEAR";142
82;"2026/2";"Other";3;"ATE";710
82;"2026/2";"Balkan";110;"SNR";100
82;"2026/2";"West Europe";50;"SKF";25
82;"2026/2";"West Europe";86;"ZIMMERMANN";39
