GENART;LDATE;LKZ;DLNR;DLNRBEZ;QTY_POS
479;"2026/1";"ROW";399;"EXEDY";41
479;"2026/1";"SEE";6;"Schaeffler LuK";6916
479;"2026/1";"N";6;"Schaeffler LuK";3499
479;"2026/1";"N";4828;"RYMEC";928
479;"2026/1";"EEU";350;"BLUE PRINT";754
479;"2026/1";"B";156;"JAPANPARTS";151
479;"2026/1";"ROW";32;"SACHS";3
479;"2026/1";"Romania";6;"Schaeffler LuK";10306
479;"2026/1";"Romania";21;"VALEO";2305
479;"2026/1";"Romania";350;"BLUE PRINT";826
479;"2026/1";"Other";4828;"RYMEC";470
479;"2026/1";"Germany";156;"JAPANPARTS";262
479;"2026/1";"N";201;"KAVO PARTS";87
479;"2026/1";"Germany";127;"NK";200
479;"2026/1";"Croatia";55;"HERTH+BUSS JAKOPARTS";23
479;"2026/1";"Croatia";156;"JAPANPARTS";262
479;"2026/1";"West Europe";156;"JAPANPARTS";194
479;"2026/1";"Portugal";55;"HERTH+BUSS JAKOPARTS";15
479;"2026/1";"Nordic";32;"SACHS";7
479;"2026/1";"SEE";350;"BLUE PRINT";171
479;"2026/1";"Other";32;"SACHS";415
479;"2026/1";"SEE";201;"KAVO PARTS";2
479;"2026/1";"SEE";350;"BLUE PRINT";32
479;"2026/1";"Slovenia";156;"JAPANPARTS";131
479;"2026/1";"Balkan";21;"VALEO";183
479;"2026/1";"SEE";21;"VALEO";2
479;"2026/1";"SEE";32;"SACHS";6
479;"2026/1";"Nordic";327;"BorgWarner";17
479;"2026/1";"Nordic";4828;"RYMEC";301
479;"2026/1";"EEU";21;"VALEO";48
479;"2026/1";"EEU";156;"JAPANPARTS";17
479;"2026/1";"EEU";21;"VALEO";24
479;"2026/1";"Switzerland";350;"BLUE PRINT";25
479;"2026/1";"Nordic";166;"AISIN";28
479;"2026/1";"West Europe";166;"AISIN";106
479;"2026/1";"Croatia";166;"AISIN";29
479;"2026/1";"Croatia";190;"NATIONAL";3
479;"2026/1";"Other";201;"KAVO PARTS";7
479;"2026/1";"EEU";6;"Schaeffler LuK";212
479;"2026/1";"Other";6;"Schaeffler LuK";21
479;"2026/1";"SEE";32;"SACHS";18
479;"2026/1";"Austria";327;"BorgWarner";34
479;"2026/1";"N";327;"BorgWarner";4
479;"2026/1";"Germany";6984;"Oyodo";12
479;"2026/1";"Nordic";201;"KAVO PARTS";1
479;"2026/1";"Other";21;"VALEO";5
479;"2026/1";"Romania";327;"BorgWarner";14
479;"2026/1";"Germany";301;"TOPRAN";2
479;"2026/1";"EEU";166;"AISIN";1
479;"2026/1";"Other";4828;"RYMEC";1
479;"2026/1";"N";55;"HERTH+BUSS JAKOPARTS";85
479;"2026/1";"EEU";327;"BorgWarner";1
479;"2026/1";"SEE";166;"AISIN";1
479;"2026/1";"Other";156;"JAPANPARTS";3
479;"2026/1";"Other";55;"HERTH+BUSS JAKOPARTS";1
479;"2026/1";"Germany";101;"FEBI BILSTEIN";16
479;"2026/1";"Other";6;"Schaeffler LuK";1
479;"2026/1";"Germany";4346;"vika";4
479;"2026/1";"B";327;"BorgWarner";1
479;"2026/1";"Balkan";4564;"MOTAQUIP";2
479;"2026/1";"Spain";4604;"CASALS";1
479;"2026/1";"SEE";32;"SACHS";3
479;"2026/1";"Slovenia";186;"DENCKERMANN";1
479;"2026/1";"Romania";161;"TRW";1
479;"2026/1";"West Europe";4828;"RYMEC";2
479;"2026/1";"Nordic";403;"MAXGEAR";1
479;"2026/1";"SEE";21;"VALEO";2
479;"2026/1";"SEE";350;"BLUE PRINT";2
479;"2026/1";"Other";166;"AISIN";2
479;"2026/1";"Germany";6359;"IAP QUALITY PARTS";3
479;"2026/1";"Croatia";481;"JAPKO";52
479;"2026/1";"Balkan";481;"JAPKO";13
479;"2026/1";"Other";481;"JAPKO";18
479;"2026/1";"SEE";55;"HERTH+BUSS JAKOPARTS";5
479;"2026/1";"West Europe";127;"NK";18
479;"2026/1";"West Europe";4694;"NEXUS";4
479;"2026/1";"Austria";4869;"RED-LINE";1
479;"2026/1";"West Europe";5436;"S-TEC";1
479;"2026/1";"Balkan";190;"NATIONAL";6
479;"2026/1";"N";260;"SASIC";1
479;"2026/1";"Serbia";403;"MAXGEAR";1
479;"2026/1";"Germany";355;"DT Spare Parts";8
479;"2026/1";"Nordic";257;"ASHIKA";7
479;"2026/1";"N";4391;"EUROREPAR";1
479;"2026/1";"West Europe";400;"RAICAM";1
479;"2026/1";"Germany";4675;"STARLINE";16
479;"2026/1";"Germany";6;"Schaeffler LuK";85188
479;"2026/1";"Germany";21;"VALEO";11591
479;"2026/1";"ROW";6;"Schaeffler LuK";2989
479;"2026/1";"Portugal";6;"Schaeffler LuK";15869
479;"2026/1";"Austria";21;"VALEO";998
479;"2026/1";"EEU";201;"KAVO PARTS";24
479;"2026/1";"B";350;"BLUE PRINT";624
479;"2026/1";"West Europe";4828;"RYMEC";233
479;"2026/1";"Nordic";350;"BLUE PRINT";106
479;"2026/1";"Other";350;"BLUE PRINT";342
479;"2026/1";"Portugal";475;"BORG & BECK";140
479;"2026/1";"Nordic";21;"VALEO";159
479;"2026/1";"Austria";4828;"RYMEC";136
479;"2026/1";"Other";6;"Schaeffler LuK";837
479;"2026/1";"West Europe";185;"KAMOKA";6
479;"2026/1";"Switzerland";32;"SACHS";2304
479;"2026/1";"Nordic";6;"Schaeffler LuK";303
479;"2026/1";"Nordic";4828;"RYMEC";62
479;"2026/1";"Other";6;"Schaeffler LuK";422
479;"2026/1";"SEE";421;"COMLINE";7
479;"2026/1";"EEU";32;"SACHS";92
479;"2026/1";"B";166;"AISIN";34
479;"2026/1";"Balkan";21;"VALEO";443
479;"2026/1";"Balkan";32;"SACHS";1276
479;"2026/1";"ROW";4828;"RYMEC";23
479;"2026/1";"Nordic";55;"HERTH+BUSS JAKOPARTS";7
479;"2026/1";"EEU";166;"AISIN";6
479;"2026/1";"Balkan";32;"SACHS";146
479;"2026/1";"West Europe";350;"BLUE PRINT";617
479;"2026/1";"Other";4828;"RYMEC";2
479;"2026/1";"West Europe";4975;"AP XENERGY";1
479;"2026/1";"Other";6;"Schaeffler LuK";49
479;"2026/1";"Germany";5995;"UniClutch";1
479;"2026/1";"Other";32;"SACHS";6
479;"2026/1";"Nordic";2728;"ORIGINAL Schäferbarthold";2
479;"2026/1";"SEE";6;"Schaeffler LuK";18
479;"2026/1";"Other";55;"HERTH+BUSS JAKOPARTS";3
479;"2026/1";"EEU";4828;"RYMEC";5
479;"2026/1";"SEE";166;"AISIN";9
479;"2026/1";"Other";32;"SACHS";1
479;"2026/1";"Austria";257;"ASHIKA";6
479;"2026/1";"Other";4828;"RYMEC";7
479;"2026/1";"West Europe";6;"Schaeffler LuK";362
479;"2026/1";"EEU";6;"Schaeffler LuK";2
479;"2026/1";"EEU";32;"SACHS";4
479;"2026/1";"Nordic";6984;"Oyodo";3
479;"2026/1";"Nordic";201;"KAVO PARTS";1
479;"2026/1";"Other";403;"MAXGEAR";1
479;"2026/1";"Portugal";7371;"Burig";2
479;"2026/1";"West Europe";166;"AISIN";1
479;"2026/1";"Nordic";4828;"RYMEC";123
479;"2026/1";"Other";32;"SACHS";5
479;"2026/1";"ROW";355;"DT Spare Parts";1
479;"2026/1";"Croatia";257;"ASHIKA";4
479;"2026/1";"Croatia";294;"SACHS PERFORMANCE";2
479;"2026/1";"West Europe";350;"BLUE PRINT";200
479;"2026/1";"Serbia";470;"MAPA";80
479;"2026/1";"Switzerland";4461;"KAISHIN";1
479;"2026/1";"Croatia";4675;"STARLINE";25
479;"2026/1";"Balkan";327;"BorgWarner";13
479;"2026/1";"SEE";294;"SACHS PERFORMANCE";2
479;"2026/1";"Balkan";475;"BORG & BECK";49
479;"2026/1";"Serbia";190;"NATIONAL";2
479;"2026/1";"Germany";286;"KAWE";3
479;"2026/1";"Serbia";166;"AISIN";9
479;"2026/1";"Other";481;"JAPKO";1
479;"2026/1";"Slovenia";57;"QUINTON HAZELL";1
479;"2026/1";"West Europe";156;"JAPANPARTS";3
479;"2026/1";"Germany";5436;"S-TEC";17
