NORMSEARCHWORD;SUMMCNT;CNT_WITH_KART;CNT_NOT_FOUND;CNT_NO_KART;QTY_POS;GENART_QTY_POS;GENART_DLNR_QTY_POS;PERCENT_QTY_POS;U4_OE;SA200;SA203FF;IAM_GENART;GENARTNR;GENARTDESCR
"000989330711";6;5;0;1;1;1;1;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"001325429A";91;81;0;10;22;1;0;4,55;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"002989060312";167;148;1;18;5;1;0;20;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"00K68218925AB";20;9;1;10;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0049903512";89;84;0;5;13;1;0;7,69;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0071742458";2;1;0;1;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"007603010100";17;15;0;2;1;1;1;100;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0140272104";66;65;0;1;22;1;0;4,55;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0140270051";44;44;0;0;4;1;0;25;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0140272102";113;112;0;1;28;1;0;3,57;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0140370000";200;196;2;2;66;1;0;1,52;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0140370005S";48;48;0;0;7;2;0;28,57;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350200";36;35;0;1;6;4;0;66,67;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350200SK";22;20;0;2;4;3;0;75;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350200XK";6;6;0;0;2;1;0;50;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350201";298;288;0;10;56;49;1;87,50;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350202";3;3;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350203";78;77;1;0;15;15;0;100;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350203SK";30;30;0;0;6;3;0;50;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350204";88;88;0;0;16;13;0;81,25;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350204SK";22;22;0;0;9;4;0;44,44;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350211";496;478;0;18;102;99;0;97,06;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350211SK";85;80;0;5;24;17;0;70,83;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350212";2;1;0;1;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350213";81;78;0;3;16;15;0;93,75;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350214";88;86;0;2;24;24;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350214XK";15;15;0;0;1;1;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350300";747;705;11;31;138;134;3;97,10;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350300SK";34;27;0;7;1;1;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350305";784;758;0;26;166;151;2;90,96;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350305XK";224;208;2;14;48;48;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141350404";1;1;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141351201XK";71;68;0;3;10;10;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141351202";298;293;0;5;67;66;2;98,51;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141351202XK";71;69;0;2;10;9;0;90;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141351211SK";72;61;0;11;7;4;0;57,14;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141351212";321;313;0;8;48;45;0;93,75;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141351402";364;351;0;13;66;65;0;98,48;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141351402XK";129;128;0;1;31;30;0;96,77;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141351404";372;361;1;10;70;69;0;98,57;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141351404MYL";4;4;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141351410";252;242;1;9;49;46;0;93,88;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141351600";106;106;0;0;14;11;0;78,57;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141351600SK";43;43;0;0;11;9;0;81,82;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141351600XK";29;27;0;2;1;1;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141351700";99;96;0;3;16;15;0;93,75;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141351700SK";13;10;0;3;1;1;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141351700XK";11;11;0;0;1;1;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141371005";176;169;0;7;65;2;0;3,08;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141371007";97;90;1;6;20;5;4;25;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0141371107";475;461;0;14;109;5;0;4,59;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0143251000";403;398;0;5;109;3;2;2,75;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0152281";1;1;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"0148933";5;5;0;0;3;3;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
