GENART;LDATE;LKZ;DLNR;DLNRBEZ;NARTNR;QTY_POS
4921;"2026/2";"Germany";68;"ZF";"1060298072";29
4921;"2026/2";"Germany";68;"ZF";"5961308371";184
4921;"2026/2";"Germany";68;"ZF";"5961308447";202
4921;"2026/2";"Germany";101;"FEBI BILSTEIN";"176892";24
4921;"2026/2";"Germany";68;"ZF";"1103298113";41
4921;"2026/2";"Germany";144;"MEYLE";"0141351404";434
4921;"2026/2";"Austria";101;"FEBI BILSTEIN";"171748";59
4921;"2026/2";"Austria";144;"MEYLE";"3001351007";106
4921;"2026/2";"Austria";162;"VAICO";"V105390";31
4921;"2026/2";"EEU";68;"ZF";"1071298027";24
4921;"2026/2";"EEU";68;"ZF";"1071298039";2
4921;"2026/2";"EEU";144;"MEYLE";"0141351402";9
4921;"2026/2";"EEU";144;"MEYLE";"0141351404";29
4921;"2026/2";"EEU";144;"MEYLE";"1001350102";82
4921;"2026/2";"EEU";144;"MEYLE";"1001350114";41
4921;"2026/2";"EEU";144;"MEYLE";"1001350114SK";34
4921;"2026/2";"Germany";101;"FEBI BILSTEIN";"188364";117
4921;"2026/2";"Switzerland";144;"MEYLE";"3001351007";73
4921;"2026/2";"Germany";101;"FEBI BILSTEIN";"176859";19
4921;"2026/2";"Slovenia";68;"ZF";"1087298365";136
4921;"2026/2";"Germany";144;"MEYLE";"0141350305";1202
4921;"2026/2";"Croatia";68;"ZF";"1068298062";33
4921;"2026/2";"Croatia";68;"ZF";"1103298006";13
4921;"2026/2";"Croatia";68;"ZF";"5961308601";11
4921;"2026/2";"Croatia";101;"FEBI BILSTEIN";"171748";41
4921;"2026/2";"Croatia";101;"FEBI BILSTEIN";"171783";27
4921;"2026/2";"Croatia";144;"MEYLE";"0141350305XK";20
4921;"2026/2";"Croatia";144;"MEYLE";"1001350016";3
4921;"2026/2";"N";144;"MEYLE";"0141350211SK";2
4921;"2026/2";"SEE";68;"ZF";"1091298067";4
4921;"2026/2";"Germany";162;"VAICO";"V103223XXL";146
4921;"2026/2";"Germany";162;"VAICO";"V302252BEK";12
4921;"2026/2";"Germany";162;"VAICO";"V302256XXL";157
4921;"2026/2";"Germany";144;"MEYLE";"0141351211SK";22
4921;"2026/2";"EEU";101;"FEBI BILSTEIN";"176897";7
4921;"2026/2";"EEU";4342;"TCMATIC";"1051080012";2
4921;"2026/2";"SEE";101;"FEBI BILSTEIN";"176857";12
4921;"2026/2";"Germany";101;"FEBI BILSTEIN";"176878";66
4921;"2026/2";"Germany";144;"MEYLE";"1001350115";673
4921;"2026/2";"Romania";144;"MEYLE";"0141350201";1
4921;"2026/2";"N";144;"MEYLE";"1001350130";2
4921;"2026/2";"EEU";68;"ZF";"1103298007";15
4921;"2026/2";"EEU";101;"FEBI BILSTEIN";"171772";26
4921;"2026/2";"Germany";162;"VAICO";"V103222BEK";13
4921;"2026/2";"SEE";68;"ZF";"1087298364";72
4921;"2026/2";"SEE";68;"ZF";"1087298368";20
4921;"2026/2";"SEE";101;"FEBI BILSTEIN";"188364";10
4921;"2026/2";"Germany";144;"MEYLE";"0141351201XK";65
4921;"2026/2";"Germany";162;"VAICO";"V302256BEK";194
4921;"2026/2";"Austria";144;"MEYLE";"1001350102";337
4921;"2026/2";"Austria";144;"MEYLE";"3001351007XK";7
4921;"2026/2";"Slovenia";162;"VAICO";"V202088";1
