GENART_DESC;GENARTNR;TYPENR;BSK_POS;RATIO (%);AISIN;Schaeffler LuK;BLUE PRINT;EXEDY;VALEO;JAPANPARTS;HERTH+BUSS JAKOPARTS;WESTLAKE;RYMEC;SACHS
Kupplungssatz;479;120239;39;0,024;2;3;2;3;3;0;2;0;3;4
Kupplungssatz;479;109546;1;0,0006;0;0;0;0;0;0;0;0;1;0
Kupplungssatz;479;129062;11;0,0068;1;1;0;1;0;0;1;0;0;1
Kupplungssatz;479;28507;22;0,0135;3;4;2;2;5;0;0;0;4;2
Kupplungssatz;479;58256;53;0,0326;1;2;4;2;4;0;0;3;3;2
Kupplungssatz;479;10201;16;0,0098;1;2;1;2;2;0;0;0;2;2
Kupplungssatz;479;20036;5;0,0031;1;1;2;1;4;1;1;2;1;2
Kupplungssatz;479;17564;4;0,0025;0;0;0;0;2;1;0;0;0;2
Kupplungssatz;479;146406;1;0,0006;0;1;0;2;1;0;0;0;0;1
Kupplungssatz;479;3634;36;0,0221;2;1;1;1;3;4;1;1;0;1
Kupplungssatz;479;57454;58;0,0356;5;6;4;7;4;3;4;5;6;8
Kupplungssatz;479;17186;1;0,0006;0;3;3;0;6;0;0;1;3;1
Kupplungssatz;479;123365;23;0,0141;0;5;1;3;3;0;2;1;0;8
Kupplungssatz;479;9465;125;0,0768;1;1;1;1;7;1;1;1;1;2
Kupplungssatz;479;139209;5;0,0031;0;2;1;2;6;1;2;0;2;3
Kupplungssatz;479;8729;2;0,0012;1;2;2;0;1;0;0;2;2;1
Kupplungssatz;479;801399;3;0,0018;1;0;0;0;3;1;0;0;0;1
Kupplungssatz;479;22503;15;0,0092;11;12;9;11;17;2;6;11;14;12
Kupplungssatz;479;30839;321;0,1972;1;2;1;1;2;1;1;1;1;2
Kupplungssatz;479;27977;1;0,0006;3;3;2;2;7;2;2;2;1;3
Kupplungssatz;479;155075;1;0,0006;0;0;2;0;0;0;0;0;0;0
Kupplungssatz;479;27586;5;0,0031;1;1;1;1;3;1;0;1;0;1
Kupplungssatz;479;19992;18;0,0111;2;1;0;1;2;2;1;1;1;1
Kupplungssatz;479;114869;1;0,0006;0;5;1;3;3;0;0;0;2;5
Kupplungssatz;479;10033;1;0,0006;0;2;3;2;2;0;0;2;2;2
Kupplungssatz;479;18079;56;0,0344;7;6;4;7;9;2;0;6;8;6
Kupplungssatz;479;12208;13;0,008;1;3;1;1;4;1;1;0;1;3
Kupplungssatz;479;17403;4;0,0025;1;2;2;1;7;1;1;2;2;2
Kupplungssatz;479;142255;18;0,0111;0;0;1;0;0;0;0;0;0;1
Kupplungssatz;479;22512;14;0,0086;2;4;3;3;10;0;1;5;5;6
Kupplungssatz;479;117869;2;0,0012;2;2;0;2;2;2;0;0;2;4
Kupplungssatz;479;114330;3;0,0018;7;6;4;6;7;0;4;5;7;6
Kupplungssatz;479;107508;34;0,0209;2;3;2;2;3;0;0;0;2;6
Kupplungssatz;479;18524;3;0,0018;0;1;0;1;1;0;0;0;1;1
Kupplungssatz;479;132995;5;0,0031;2;2;1;0;4;1;0;0;2;2
Kupplungssatz;479;10013;3;0,0018;1;1;1;1;0;1;0;0;1;0
Kupplungssatz;479;8994;15;0,0092;1;2;3;2;4;2;1;2;2;3
Kupplungssatz;479;1585;1;0,0006;1;0;0;1;1;0;0;1;1;1
Kupplungssatz;479;120237;41;0,0252;2;3;2;3;4;0;2;0;3;4
Kupplungssatz;479;147942;3;0,0018;0;2;0;2;3;0;0;0;0;1
Kupplungssatz;479;23381;7;0,0043;2;5;2;5;5;1;1;2;5;6
Kupplungssatz;479;31061;4;0,0025;1;4;2;2;3;0;0;0;2;1
Kupplungssatz;479;11036;29;0,0178;1;2;1;1;1;1;1;1;2;1
Kupplungssatz;479;34004;2;0,0012;0;2;0;0;0;0;0;0;0;0
Kupplungssatz;479;17998;2;0,0012;4;3;3;3;3;1;3;4;3;2
Kupplungssatz;479;114328;4;0,0025;1;2;2;1;2;0;0;0;1;2
Kupplungssatz;479;119193;1;0,0006;1;1;1;1;3;1;1;1;0;1
Kupplungssatz;479;111156;1;0,0006;0;2;1;2;5;0;2;0;2;2
Kupplungssatz;479;18507;60;0,0369;8;5;2;2;9;1;0;0;0;5
Kupplungssatz;479;116065;17;0,0104;0;5;0;3;2;0;0;1;2;3
Kupplungssatz;479;55635;34;0,0209;2;4;0;1;4;2;1;1;2;2
Kupplungssatz;479;6760;5;0,0031;2;1;2;3;3;4;1;1;1;1
Kupplungssatz;479;100854;44;0,027;2;1;0;2;2;1;0;0;1;2
Kupplungssatz;479;137110;1;0,0006;0;2;0;0;0;0;0;0;0;2
Kupplungssatz;479;27774;2;0,0012;3;4;2;4;5;0;1;1;2;6
Kupplungssatz;479;139657;3;0,0018;2;2;0;1;1;0;1;0;1;1
Kupplungssatz;479;17648;1;0,0006;0;2;0;3;2;0;0;0;0;0
Kupplungssatz;479;32885;254;0,156;4;3;4;3;4;0;1;3;3;7
Kupplungssatz;479;9712;5;0,0031;2;2;1;0;2;0;0;0;2;0
Kupplungssatz;479;116219;34;0,0209;0;5;1;4;0;0;2;1;2;1
Kupplungssatz;479;16457;16;0,0098;2;3;3;1;6;4;1;5;2;2
Kupplungssatz;479;31163;7;0,0043;1;2;0;2;4;0;1;1;2;1
Kupplungssatz;479;14485;6;0,0037;2;2;3;2;4;2;0;2;2;3
Kupplungssatz;479;23154;4;0,0025;2;3;2;2;3;0;0;0;2;2
Kupplungssatz;479;133510;1;0,0006;0;10;6;1;7;0;1;2;4;0
Kupplungssatz;479;7507;19;0,0117;2;2;0;2;5;0;0;0;0;2
Kupplungssatz;479;17118;1;0,0006;8;5;6;5;4;1;1;5;5;5
Kupplungssatz;479;15125;3;0,0018;1;2;3;2;7;1;0;4;2;4
