NORMSEARCHWORD;SUMMCNT;CNT_WITH_KART;CNT_NOT_FOUND;CNT_NO_KART;QTY_POS;GENART_QTY_POS;GENART_DLNR_QTY_POS;PERCENT_QTY_POS;U4_OE;SA200;SA203FF;IAM_GENART;GENARTNR;GENARTDESCR
"0000071794918";4;3;0;1;1;1;1;100;1;0;1;0;479;"Kupplungssatz"
"000141165";64;58;0;6;7;4;0;57,14;0;0;1;0;479;"Kupplungssatz"
"000170400";3;3;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"000170800";38;38;0;0;4;4;0;100;0;0;0;1;479;"Kupplungssatz"
"000228200";13;12;0;1;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"000228300";48;48;0;0;3;3;0;100;0;0;0;1;479;"Kupplungssatz"
"000228409";8;8;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"0002500500";4;4;0;0;7;7;7;100;0;0;1;0;479;"Kupplungssatz"
"0002500900";197;188;0;9;24;24;8;100;1;0;1;0;479;"Kupplungssatz"
"0002501000";104;88;0;16;7;6;1;85,71;0;0;1;0;479;"Kupplungssatz"
"0002506115";8;8;0;0;2;1;0;50;0;0;1;0;479;"Kupplungssatz"
"0002522905";15;12;0;3;1;1;0;100;1;0;1;0;479;"Kupplungssatz"
"0002523311";30;30;0;0;2;2;0;100;1;0;1;0;479;"Kupplungssatz"
"0002525205";23;22;0;1;3;3;0;100;1;0;0;0;479;"Kupplungssatz"
"0002525805";1;1;0;0;2;2;0;100;1;0;0;0;479;"Kupplungssatz"
"0002526105";13;13;0;0;1;1;0;100;1;0;1;0;479;"Kupplungssatz"
"0002527605";5;5;0;0;1;1;0;100;1;0;1;0;479;"Kupplungssatz"
"0002527705";5;5;0;0;1;1;1;100;1;0;1;0;479;"Kupplungssatz"
"0002527911";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0002542508";467;442;0;25;51;3;0;5,88;0;0;1;0;479;"Kupplungssatz"
"0002544108";34;31;0;3;3;1;0;33,33;0;0;1;0;479;"Kupplungssatz"
"0002545208";207;205;0;2;21;1;0;4,76;0;0;1;0;479;"Kupplungssatz"
"0009855V001000000";27;27;0;0;2;2;2;100;1;0;1;0;479;"Kupplungssatz"
"001210009";3;3;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"001220000";18;18;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"001225409";6;6;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"001228620";35;34;0;1;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"001228800";27;25;0;2;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"001235400";18;18;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"001240509";4;4;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"0012500115";9;9;0;0;1;1;0;100;0;0;1;0;479;"Kupplungssatz"
"0012502515";20;20;0;0;4;1;0;25;0;0;1;0;479;"Kupplungssatz"
"0012509315";14;12;0;2;3;1;0;33,33;0;0;1;0;479;"Kupplungssatz"
"0012521905";12;12;0;0;1;1;0;100;0;0;1;0;479;"Kupplungssatz"
"0012523905";11;10;0;1;3;3;0;100;0;0;0;0;479;"Kupplungssatz"
"001270943";4;3;0;1;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"001904760";4;3;0;1;1;1;0;100;1;0;0;0;479;"Kupplungssatz"
"002141165C";33;33;0;0;2;2;0;100;0;0;1;0;479;"Kupplungssatz"
"002180900";4;4;0;0;3;3;0;100;0;0;0;1;479;"Kupplungssatz"
"002200009";39;39;0;0;10;10;0;100;0;0;0;1;479;"Kupplungssatz"
"002220909";2;1;0;1;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"003190200";1;1;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"003200200";1;1;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"003200400";10;9;0;1;2;2;0;100;0;0;0;1;479;"Kupplungssatz"
"003215200";13;11;1;1;2;2;0;100;0;0;0;1;479;"Kupplungssatz"
"003215600";29;28;0;1;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"003215800";15;14;1;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"003215909";3;3;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"0032502115";106;94;0;12;7;1;0;14,29;0;0;1;0;479;"Kupplungssatz"
"0032502204";9;4;0;5;4;2;0;50;0;0;0;0;479;"Kupplungssatz"
"003344";27;20;3;4;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"003348";31;29;1;1;1;1;0;100;0;0;1;1;479;"Kupplungssatz"
"003387";66;49;0;17;2;2;0;100;0;0;1;1;479;"Kupplungssatz"
"003388";35;31;0;4;5;5;0;100;0;0;1;1;479;"Kupplungssatz"
"003414";221;218;3;0;1;1;0;100;0;0;1;1;479;"Kupplungssatz"
"003430";53;48;1;4;2;2;0;100;0;0;1;1;479;"Kupplungssatz"
"003433";204;198;0;6;12;12;1;100;0;0;1;1;479;"Kupplungssatz"
"003436";42;37;0;5;3;3;0;100;0;0;1;1;479;"Kupplungssatz"
"003495";57;57;0;0;12;11;2;91,67;0;0;1;1;479;"Kupplungssatz"
"003498";14;7;0;7;1;1;0;100;0;0;1;1;479;"Kupplungssatz"
"004180200";30;30;0;0;4;4;0;100;0;0;0;1;479;"Kupplungssatz"
"004190509";5;5;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"004200600";9;9;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"004220309";3;3;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"004228009";17;17;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"004228300";7;7;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"004228409";11;9;0;2;2;2;0;100;0;0;0;1;479;"Kupplungssatz"
"004228800";5;5;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"004240529";2;2;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"0042501904";21;20;1;0;5;4;0;80;1;0;1;0;479;"Kupplungssatz"
"0042504904";21;21;0;0;1;1;0;100;1;0;1;0;479;"Kupplungssatz"
"00502666";7;7;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0050878";15;15;0;0;6;6;0;100;0;0;0;0;479;"Kupplungssatz"
"005215300";6;6;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"0052883";2;2;0;0;2;2;0;100;0;0;0;0;479;"Kupplungssatz"
"005575";3;3;0;0;2;2;0;100;0;0;0;0;479;"Kupplungssatz"
"0055837";6;6;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0057096";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0057509";2;2;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0057800";37;36;1;0;6;6;0;100;0;0;0;0;479;"Kupplungssatz"
"0060055";4;4;0;0;2;2;0;100;0;0;0;0;479;"Kupplungssatz"
"0060453";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0060814061";5;2;0;3;2;2;0;100;1;0;0;0;479;"Kupplungssatz"
"006180700";4;4;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"006190500";4;4;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"006200109";5;5;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"006200600";10;10;0;0;2;2;0;100;0;0;0;1;479;"Kupplungssatz"
"0063259";8;8;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0063261";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0063268";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0063274";3;3;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0063948";2;2;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0064139";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0066137";4;4;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0067021";6;6;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"006731";15;8;0;7;1;1;0;100;0;0;1;1;479;"Kupplungssatz"
"0067422";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0067425";2;2;0;0;2;2;0;100;0;0;0;0;479;"Kupplungssatz"
"006745";12;8;0;4;1;1;0;100;0;0;1;1;479;"Kupplungssatz"
"006775";5;5;0;0;1;1;0;100;0;0;1;1;479;"Kupplungssatz"
"0067989";2;2;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"006804";29;25;0;4;1;1;0;100;0;0;1;1;479;"Kupplungssatz"
"0069990";5;5;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0071713150";3;1;0;2;1;1;0;100;1;0;0;0;479;"Kupplungssatz"
"0074421";12;12;0;0;3;3;0;100;0;0;0;0;479;"Kupplungssatz"
"0074954";2;1;1;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0074999";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0075000";2;2;0;0;2;2;0;100;0;0;0;0;479;"Kupplungssatz"
"0076389";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0076502";9;9;0;0;4;4;0;100;0;0;0;0;479;"Kupplungssatz"
"008190000";11;10;0;1;3;3;0;100;0;0;0;1;479;"Kupplungssatz"
"008190600";19;19;0;0;6;6;0;100;0;0;0;1;479;"Kupplungssatz"
"008200000";1;1;0;0;1;1;0;100;0;0;0;1;479;"Kupplungssatz"
"0084288";3;3;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0087395";2;2;0;0;2;2;0;100;0;0;0;0;479;"Kupplungssatz"
"0087396";2;2;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0087408";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"009011";24;24;0;0;2;1;0;50;0;0;0;0;479;"Kupplungssatz"
"0090301";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"009141";58;56;1;1;5;5;0;100;0;0;1;1;479;"Kupplungssatz"
"009236";15;10;0;5;1;1;0;100;0;0;1;1;479;"Kupplungssatz"
"009237";29;29;0;0;1;1;0;100;0;0;1;1;479;"Kupplungssatz"
"009242";99;92;1;6;1;1;0;100;0;0;1;1;479;"Kupplungssatz"
"009247";30;27;0;3;5;5;0;100;0;0;1;1;479;"Kupplungssatz"
"009249";20;19;0;1;1;1;0;100;0;0;1;1;479;"Kupplungssatz"
"0092569";2;2;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"009312";10;8;0;2;1;1;1;100;0;0;1;1;479;"Kupplungssatz"
"0095292";5;5;0;0;3;3;0;100;0;0;0;0;479;"Kupplungssatz"
"0100195";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0100810";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0102500104";3;3;0;0;1;1;0;100;0;0;1;0;479;"Kupplungssatz"
"0104779";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"010751";13;13;0;0;3;3;0;100;0;0;0;0;479;"Kupplungssatz"
