GENARTNR;GENARTDESCR;NORMSEARCHWORD;QTY_POS;RATIO (%);Schaeffler LuK;VALEO;HERTH+BUSS JAKOPARTS;JAPANPARTS;AISIN;BLUE PRINT;EXEDY;WESTLAKE;RYMEC;SACHS
479;Kupplungssatz;0042504904;1;0,0005;1;0;0;0;0;0;0;0;1;1
479;Kupplungssatz;00502666;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0050878;6;0,0029;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;005215300;1;0,0005;0;1;0;0;1;1;0;1;1;0
479;Kupplungssatz;0052883;2;0,001;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;005575;2;0,001;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0055837;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0057096;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0057509;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0057800;6;0,0029;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0060055;2;0,001;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0060453;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0060814061;2;0,001;0;1;0;1;0;0;0;1;0;0
479;Kupplungssatz;006180700;1;0,0005;0;1;0;0;1;1;0;1;0;0
479;Kupplungssatz;006190500;1;0,0005;0;1;0;0;0;1;0;0;0;0
479;Kupplungssatz;006200109;1;0,0005;0;0;1;0;1;1;0;0;1;0
479;Kupplungssatz;006200600;2;0,001;0;1;0;0;1;1;0;1;1;0
479;Kupplungssatz;0063259;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0063261;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0063268;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0063274;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0063948;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0064139;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0066137;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0067021;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;006731;1;0,0005;0;1;0;0;0;0;0;0;0;1
479;Kupplungssatz;0067422;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0067425;2;0,001;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;006745;1;0,0005;1;1;0;0;1;1;1;1;0;1
479;Kupplungssatz;006775;1;0,0005;0;1;0;0;0;0;1;0;0;1
479;Kupplungssatz;0067989;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;006804;1;0,0005;1;1;0;1;0;1;1;1;0;1
479;Kupplungssatz;0069990;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0071713150;1;0,0005;0;1;0;1;0;0;0;1;0;0
479;Kupplungssatz;007200400;1;0,0005;0;1;0;0;1;1;0;1;1;0
479;Kupplungssatz;0074421;3;0,0014;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0074954;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0074999;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0075000;2;0,001;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0076389;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0076502;4;0,0019;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;008190000;3;0,0014;0;0;1;0;0;1;0;0;1;0
479;Kupplungssatz;008190600;6;0,0029;0;0;0;0;1;1;0;0;1;0
479;Kupplungssatz;008200000;1;0,0005;0;0;0;0;1;1;0;0;0;0
479;Kupplungssatz;0084288;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;008709;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0087395;2;0,001;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0087396;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0087408;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;009011;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0090301;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;009141;5;0,0024;0;1;0;0;0;0;1;0;0;1
479;Kupplungssatz;009236;1;0,0005;1;1;1;1;1;1;1;0;0;1
479;Kupplungssatz;009237;1;0,0005;1;1;1;1;1;1;1;1;0;1
479;Kupplungssatz;009242;1;0,0005;0;1;0;0;1;1;1;1;0;1
479;Kupplungssatz;009247;5;0,0024;1;1;1;1;1;1;1;1;0;1
479;Kupplungssatz;009249;1;0,0005;0;1;0;1;1;1;1;1;0;1
479;Kupplungssatz;0092569;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;009312;1;0,0005;1;1;0;0;1;1;0;1;0;1
479;Kupplungssatz;0095292;3;0,0014;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0100195;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0100810;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0102500104;1;0,0005;1;0;0;0;0;0;0;1;0;1
479;Kupplungssatz;0104779;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;010751;3;0,0014;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;010754;2;0,001;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0110000221;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0110002475;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0110003202;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0110004681;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0110004826;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0110005382;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0110292;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;011215000;1;0,0005;0;0;0;1;1;0;0;0;0;0
479;Kupplungssatz;0112404;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0112505503;2;0,001;1;0;0;0;0;0;0;0;1;1
479;Kupplungssatz;011407;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0116692;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0118311;2;0,001;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0119558;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0121000;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;012141165D;1;0,0005;1;1;0;0;1;1;0;1;1;1
479;Kupplungssatz;012141165E;6;0,0029;1;1;0;0;1;1;0;1;1;1
479;Kupplungssatz;012141741;1;0,0005;1;0;0;0;1;0;0;0;0;0
