GENART;LDATE;LKZ;DLNR;DLNRBEZ;QTY_POS
479;"2026/2";"Nordic";4828;"RYMEC";160
479;"2026/2";"Germany";156;"JAPANPARTS";331
479;"2026/2";"ROW";32;"SACHS";853
479;"2026/2";"Nordic";6;"Schaeffler LuK";875
479;"2026/2";"EEU";6;"Schaeffler LuK";81
479;"2026/2";"EEU";6;"Schaeffler LuK";366
479;"2026/2";"West Europe";4828;"RYMEC";1558
479;"2026/2";"Nordic";156;"JAPANPARTS";57
479;"2026/2";"SEE";55;"HERTH+BUSS JAKOPARTS";37
479;"2026/2";"Germany";5995;"UniClutch";1
479;"2026/2";"West Europe";6;"Schaeffler LuK";450
479;"2026/2";"ROW";399;"EXEDY";42
479;"2026/2";"SEE";350;"BLUE PRINT";156
479;"2026/2";"Balkan";32;"SACHS";1769
479;"2026/2";"Nordic";21;"VALEO";133
479;"2026/2";"Other";32;"SACHS";31
479;"2026/2";"Nordic";6;"Schaeffler LuK";36
479;"2026/2";"Nordic";32;"SACHS";28
479;"2026/2";"Switzerland";21;"VALEO";983
479;"2026/2";"Other";32;"SACHS";878
479;"2026/2";"Nordic";32;"SACHS";302
479;"2026/2";"Other";6;"Schaeffler LuK";46
479;"2026/2";"Other";156;"JAPANPARTS";6
479;"2026/2";"Spain";21;"VALEO";402
479;"2026/2";"Nordic";6;"Schaeffler LuK";310
479;"2026/2";"Nordic";166;"AISIN";34
479;"2026/2";"Croatia";55;"HERTH+BUSS JAKOPARTS";13
479;"2026/2";"Nordic";156;"JAPANPARTS";3
479;"2026/2";"Nordic";4828;"RYMEC";20
479;"2026/2";"West Europe";6;"Schaeffler LuK";1724
479;"2026/2";"Balkan";21;"VALEO";675
479;"2026/2";"EEU";55;"HERTH+BUSS JAKOPARTS";2
479;"2026/2";"Balkan";156;"JAPANPARTS";33
479;"2026/2";"Nordic";156;"JAPANPARTS";16
479;"2026/2";"EEU";32;"SACHS";138
479;"2026/2";"EEU";4828;"RYMEC";34
479;"2026/2";"B";4561;"WESTLAKE";5
479;"2026/2";"Other";55;"HERTH+BUSS JAKOPARTS";4
479;"2026/2";"Nordic";6984;"Oyodo";7
479;"2026/2";"Nordic";32;"SACHS";201
479;"2026/2";"Other";6;"Schaeffler LuK";2
479;"2026/2";"SEE";4815;"Borsehung";8
479;"2026/2";"SEE";6;"Schaeffler LuK";21
479;"2026/2";"Austria";55;"HERTH+BUSS JAKOPARTS";40
479;"2026/2";"SEE";101;"FEBI BILSTEIN";2
479;"2026/2";"SEE";156;"JAPANPARTS";1
479;"2026/2";"SEE";350;"BLUE PRINT";11
479;"2026/2";"Germany";177;"BTS Turbo";11
479;"2026/2";"Other";21;"VALEO";1
479;"2026/2";"Other";32;"SACHS";3
479;"2026/2";"Other";6;"Schaeffler LuK";4
479;"2026/2";"Other";32;"SACHS";1
479;"2026/2";"Other";156;"JAPANPARTS";2
479;"2026/2";"Other";350;"BLUE PRINT";1
479;"2026/2";"Other";32;"SACHS";1
479;"2026/2";"Switzerland";294;"SACHS PERFORMANCE";5
479;"2026/2";"Other";350;"BLUE PRINT";3
479;"2026/2";"Austria";2728;"ORIGINAL Schäferbarthold";2
479;"2026/2";"Other";156;"JAPANPARTS";1
479;"2026/2";"SEE";21;"VALEO";8
479;"2026/2";"Austria";185;"KAMOKA";7
479;"2026/2";"Nordic";201;"KAVO PARTS";1
479;"2026/2";"Spain";7673;"BÖLK";1
479;"2026/2";"ROW";156;"JAPANPARTS";2
479;"2026/2";"Romania";161;"TRW";1
479;"2026/2";"Other";4675;"STARLINE";3
479;"2026/2";"Balkan";470;"MAPA";302
479;"2026/2";"Balkan";4938;"FAST";7
479;"2026/2";"West Europe";127;"NK";13
479;"2026/2";"Croatia";268;"JP GROUP";1
479;"2026/2";"Romania";55;"HERTH+BUSS JAKOPARTS";158
479;"2026/2";"Croatia";475;"BORG & BECK";7
479;"2026/2";"Serbia";260;"SASIC";2
479;"2026/2";"Balkan";4561;"WESTLAKE";9
479;"2026/2";"Croatia";603;"MEC-DIESEL";2
479;"2026/2";"Balkan";55;"HERTH+BUSS JAKOPARTS";5
479;"2026/2";"Portugal";190;"NATIONAL";1
479;"2026/2";"Croatia";4683;"OSSCA";1
479;"2026/2";"Serbia";403;"MAXGEAR";1
479;"2026/2";"Croatia";355;"DT Spare Parts";1
479;"2026/2";"Germany";204;"Schaeffler INA";38
479;"2026/2";"Germany";4683;"OSSCA";1
479;"2026/2";"Nordic";55;"HERTH+BUSS JAKOPARTS";2
479;"2026/2";"Romania";5436;"S-TEC";9
479;"2026/2";"Austria";204;"Schaeffler INA";1
479;"2026/2";"Other";32;"SACHS";2
479;"2026/2";"Austria";5436;"S-TEC";2
479;"2026/2";"West Europe";603;"MEC-DIESEL";1
479;"2026/2";"West Europe";294;"SACHS PERFORMANCE";1
479;"2026/2";"West Europe";400;"RAICAM";2
479;"2026/2";"EEU";6;"Schaeffler LuK";6962
479;"2026/2";"Germany";55;"HERTH+BUSS JAKOPARTS";1937
479;"2026/2";"Germany";350;"BLUE PRINT";3700
479;"2026/2";"West Europe";350;"BLUE PRINT";1139
479;"2026/2";"SEE";4828;"RYMEC";21
479;"2026/2";"Nordic";4828;"RYMEC";311
479;"2026/2";"EEU";4828;"RYMEC";1211
479;"2026/2";"ROW";6;"Schaeffler LuK";2711
479;"2026/2";"EEU";21;"VALEO";1726
479;"2026/2";"Balkan";350;"BLUE PRINT";251
479;"2026/2";"N";21;"VALEO";635
479;"2026/2";"Slovenia";2728;"ORIGINAL Schäferbarthold";1
479;"2026/2";"Spain";6;"Schaeffler LuK";4558
479;"2026/2";"SEE";421;"COMLINE";7
479;"2026/2";"Serbia";21;"VALEO";4890
479;"2026/2";"Romania";201;"KAVO PARTS";4
479;"2026/2";"Spain";4561;"WESTLAKE";379
479;"2026/2";"ROW";21;"VALEO";233
479;"2026/2";"Germany";201;"KAVO PARTS";39
479;"2026/2";"Austria";4598;"3RG";3
479;"2026/2";"Croatia";421;"COMLINE";2
479;"2026/2";"Balkan";286;"KAWE";66
479;"2026/2";"Nordic";350;"BLUE PRINT";18
479;"2026/2";"Balkan";470;"MAPA";133
479;"2026/2";"Croatia";257;"ASHIKA";6
479;"2026/2";"Nordic";475;"BORG & BECK";27
479;"2026/2";"Other";201;"KAVO PARTS";5
479;"2026/2";"Other";350;"BLUE PRINT";13
479;"2026/2";"SEE";32;"SACHS";48
479;"2026/2";"Slovenia";4832;"WILMINK GROUP";1
479;"2026/2";"Other";4828;"RYMEC";1
479;"2026/2";"N";55;"HERTH+BUSS JAKOPARTS";67
479;"2026/2";"Other";185;"KAMOKA";3
479;"2026/2";"Other";470;"MAPA";14
479;"2026/2";"Germany";6358;"RIDEX";5
479;"2026/2";"SEE";166;"AISIN";16
479;"2026/2";"EEU";201;"KAVO PARTS";1
479;"2026/2";"ROW";32;"SACHS";2
479;"2026/2";"Other";156;"JAPANPARTS";19
479;"2026/2";"Other";6;"Schaeffler LuK";3
479;"2026/2";"Other";166;"AISIN";1
479;"2026/2";"West Europe";21;"VALEO";67
479;"2026/2";"SEE";4346;"vika";11
479;"2026/2";"Austria";399;"EXEDY";9
479;"2026/2";"Other";350;"BLUE PRINT";3
479;"2026/2";"Other";32;"SACHS";7
479;"2026/2";"EEU";4828;"RYMEC";1
479;"2026/2";"West Europe";185;"KAMOKA";2
479;"2026/2";"Other";201;"KAVO PARTS";1
479;"2026/2";"Nordic";350;"BLUE PRINT";3
479;"2026/2";"Other";6;"Schaeffler LuK";1
479;"2026/2";"Austria";101;"FEBI BILSTEIN";1
479;"2026/2";"Serbia";185;"KAMOKA";1
479;"2026/2";"Other";156;"JAPANPARTS";1
479;"2026/2";"Other";21;"VALEO";1
479;"2026/2";"N";2728;"ORIGINAL Schäferbarthold";1
479;"2026/2";"Other";21;"VALEO";1
479;"2026/2";"Other";6;"Schaeffler LuK";3
479;"2026/2";"ROW";350;"BLUE PRINT";2
479;"2026/2";"Balkan";421;"COMLINE";1
