GENART;LDATE;LKZ;DLNR;DLNRBEZ;QTY_POS
1561;"2026/2";"Germany";94;"METZGER AUTOTEILE";2063
1561;"2026/2";"N";95;"MAGNETI MARELLI";102
1561;"2026/2";"N";301;"TOPRAN";3
1561;"2026/2";"EEU";101;"FEBI BILSTEIN";274
1561;"2026/2";"SEE";21;"VALEO";54
1561;"2026/2";"Germany";4849;"Ac Rolcar";231
1561;"2026/2";"N";4585;"DOGA";170
1561;"2026/2";"West Europe";234;"ERA";222
1561;"2026/2";"B";21;"VALEO";32
1561;"2026/2";"Slovenia";6558;"AIC";41
1561;"2026/2";"Spain";35;"LEMFÖRDER";2422
1561;"2026/2";"West Europe";95;"MAGNETI MARELLI";212
1561;"2026/2";"Austria";4353;"DPA";8
1561;"2026/2";"Nordic";78;"KLOKKERHOLM";15
1561;"2026/2";"West Europe";301;"TOPRAN";6
1561;"2026/2";"SEE";94;"METZGER AUTOTEILE";26
1561;"2026/2";"Nordic";4585;"DOGA";1
1561;"2026/2";"West Europe";4849;"Ac Rolcar";241
1561;"2026/2";"Other";4585;"DOGA";1
1561;"2026/2";"N";36;"VAN WEZEL";290
1561;"2026/2";"Balkan";4389;"MAX";21
1561;"2026/2";"Germany";138;"JOHNS";4
1561;"2026/2";"Nordic";21;"VALEO";33
1561;"2026/2";"Switzerland";6558;"AIC";114
1561;"2026/2";"Croatia";185;"KAMOKA";9
1561;"2026/2";"EEU";4849;"Ac Rolcar";6
1561;"2026/2";"Nordic";403;"MAXGEAR";5
1561;"2026/2";"Nordic";4585;"DOGA";37
1561;"2026/2";"Romania";403;"MAXGEAR";397
1561;"2026/2";"Serbia";185;"KAMOKA";2
1561;"2026/2";"ROW";403;"MAXGEAR";4
1561;"2026/2";"Other";4389;"MAX";1
1561;"2026/2";"Switzerland";4849;"Ac Rolcar";4
1561;"2026/2";"West Europe";95;"MAGNETI MARELLI";1
1561;"2026/2";"Germany";4603;"ELECTRIC LIFE";45
1561;"2026/2";"Croatia";4657;"ABAKUS";1
1561;"2026/2";"N";6558;"AIC";24
1561;"2026/2";"Austria";35;"LEMFÖRDER";13
1561;"2026/2";"Other";403;"MAXGEAR";1
1561;"2026/2";"Nordic";78;"KLOKKERHOLM";6
1561;"2026/2";"EEU";4849;"Ac Rolcar";2
1561;"2026/2";"Switzerland";94;"METZGER AUTOTEILE";23
1561;"2026/2";"Other";101;"FEBI BILSTEIN";1
1561;"2026/2";"Spain";4664;"Metalcaucho";1
1561;"2026/2";"Other";101;"FEBI BILSTEIN";1
1561;"2026/2";"Switzerland";301;"TOPRAN";2
1561;"2026/2";"West Europe";209;"TRUCKTEC AUTOMOTIVE";1
1561;"2026/2";"EEU";301;"TOPRAN";2
1561;"2026/2";"Balkan";4555;"BLIC";4
1561;"2026/2";"Spain";403;"MAXGEAR";1
1561;"2026/2";"Portugal";95;"MAGNETI MARELLI";4
1561;"2026/2";"Other";4585;"DOGA";21
1561;"2026/2";"Serbia";301;"TOPRAN";148
1561;"2026/2";"B";4555;"BLIC";8
1561;"2026/2";"N";162;"VAICO";8
1561;"2026/2";"Other";4719;"LIFT-TEK";1
1561;"2026/2";"Spain";4970;"TRICLO";2
1561;"2026/2";"Other";101;"FEBI BILSTEIN";1
1561;"2026/2";"Other";21;"VALEO";5
1561;"2026/2";"Slovenia";4719;"LIFT-TEK";2
1561;"2026/2";"Slovenia";185;"KAMOKA";3
1561;"2026/2";"Portugal";4720;"PMM";1
1561;"2026/2";"B";253;"DIEDERICHS";1
1561;"2026/2";"Portugal";340;"PRASCO";1
1561;"2026/2";"SEE";301;"TOPRAN";2
1561;"2026/2";"Balkan";4664;"Metalcaucho";3
1561;"2026/2";"Romania";4623;"SAMPA";1
1561;"2026/2";"Balkan";340;"PRASCO";1
1561;"2026/2";"Balkan";209;"TRUCKTEC AUTOMOTIVE";1
1561;"2026/2";"Other";21;"VALEO";3
1561;"2026/2";"Romania";4657;"ABAKUS";5
1561;"2026/2";"Balkan";4603;"ELECTRIC LIFE";5
1561;"2026/2";"Balkan";4969;"ESEN SKV";2
1561;"2026/2";"Nordic";78;"KLOKKERHOLM";18
1561;"2026/2";"Austria";253;"DIEDERICHS";1
1561;"2026/2";"Croatia";63;"PE Automotive";1
