GENARTNR;GENARTDESCR;NORMSEARCHWORD;QTY_POS;RATIO (%);VALEO;LEMF?RDER;METZGER AUTOTEILE;MAGNETI MARELLI;FEBI BILSTEIN;MAXGEAR;DOGA;ELECTRIC LIFE;Ac Rolcar;VAN WEZEL
1561;Fensterheber;012514;1;0,0028;1;0;0;1;0;1;1;1;1;1
1561;Fensterheber;012515;1;0,0028;1;0;0;1;0;1;1;1;1;1
1561;Fensterheber;012525;6;0,0168;1;0;0;1;1;1;0;1;1;0
1561;Fensterheber;012529;1;0,0028;1;0;0;1;1;1;1;1;1;1
1561;Fensterheber;012530;1;0,0028;0;0;0;0;0;0;1;0;1;0
1561;Fensterheber;012531;1;0,0028;0;0;1;0;0;0;1;0;1;0
1561;Fensterheber;012901;1;0,0028;1;0;0;1;0;0;1;0;1;1
1561;Fensterheber;012904;1;0,0028;1;0;1;1;0;1;1;1;1;1
1561;Fensterheber;012909;2;0,0056;1;0;1;1;0;1;1;1;1;0
1561;Fensterheber;012961;1;0,0028;0;0;1;0;0;0;0;1;1;0
1561;Fensterheber;013000;3;0,0084;0;0;0;1;0;0;0;1;1;0
1561;Fensterheber;013021;1;0,0028;1;0;1;1;0;0;1;1;1;1
1561;Fensterheber;013029;1;0,0028;0;0;0;1;0;0;1;1;1;1
1561;Fensterheber;013040;1;0,0028;1;0;1;1;0;1;0;1;1;1
1561;Fensterheber;013064;1;0,0028;1;0;1;1;0;1;1;1;1;1
1561;Fensterheber;013514;1;0,0028;0;0;1;1;0;1;1;1;1;0
1561;Fensterheber;013517;4;0,0112;1;0;0;1;0;0;1;0;1;0
1561;Fensterheber;013518;1;0,0028;0;0;1;1;1;1;1;1;1;1
1561;Fensterheber;013530;2;0,0056;1;0;1;1;0;0;0;1;1;1
1561;Fensterheber;013531;1;0,0028;1;0;1;1;0;0;0;1;1;1
1561;Fensterheber;013533;1;0,0028;1;0;1;1;0;1;1;1;1;1
1561;Fensterheber;013542;1;0,0028;1;0;1;0;0;0;1;1;1;1
