GENART;LDATE;LKZ;DLNR;DLNRBEZ;QTY_POS
1561;"2026/1";"Germany";162;"VAICO";522
1561;"2026/1";"Other";95;"MAGNETI MARELLI";92
1561;"2026/1";"Croatia";4389;"MAX";1086
1561;"2026/1";"Germany";4546;"KRAFT AUTOMOTIVE";3
1561;"2026/1";"Portugal";4719;"LIFT-TEK";1419
1561;"2026/1";"Germany";4849;"Ac Rolcar";273
1561;"2026/1";"West Europe";95;"MAGNETI MARELLI";150
1561;"2026/1";"N";21;"VALEO";253
1561;"2026/1";"Other";4585;"DOGA";1
1561;"2026/1";"Other";403;"MAXGEAR";12
1561;"2026/1";"SEE";355;"DT Spare Parts";4
1561;"2026/1";"Other";4389;"MAX";17
1561;"2026/1";"SEE";95;"MAGNETI MARELLI";29
1561;"2026/1";"B";95;"MAGNETI MARELLI";76
1561;"2026/1";"Nordic";4938;"FAST";1
1561;"2026/1";"B";4585;"DOGA";133
1561;"2026/1";"Balkan";403;"MAXGEAR";2
1561;"2026/1";"Portugal";4938;"FAST";5
1561;"2026/1";"Croatia";4721;"MIRAGLIO";13
1561;"2026/1";"Germany";6358;"RIDEX";7
1561;"2026/1";"West Europe";234;"ERA";125
1561;"2026/1";"SEE";4353;"DPA";114
1561;"2026/1";"Nordic";94;"METZGER AUTOTEILE";24
1561;"2026/1";"N";301;"TOPRAN";1
1561;"2026/1";"B";21;"VALEO";16
1561;"2026/1";"West Europe";301;"TOPRAN";10
1561;"2026/1";"West Europe";4969;"ESEN SKV";36
1561;"2026/1";"Switzerland";101;"FEBI BILSTEIN";27
1561;"2026/1";"Other";95;"MAGNETI MARELLI";1
1561;"2026/1";"Other";78;"KLOKKERHOLM";1
1561;"2026/1";"Slovenia";4969;"ESEN SKV";12
1561;"2026/1";"Nordic";340;"PRASCO";1
1561;"2026/1";"SEE";35;"LEMFÖRDER";2
1561;"2026/1";"Balkan";301;"TOPRAN";13
1561;"2026/1";"EEU";101;"FEBI BILSTEIN";5
1561;"2026/1";"SEE";301;"TOPRAN";1
1561;"2026/1";"Other";101;"FEBI BILSTEIN";1
1561;"2026/1";"ROW";21;"VALEO";1
1561;"2026/1";"Austria";162;"VAICO";6
1561;"2026/1";"Germany";3720;"AutoTechteile";4
1561;"2026/1";"SEE";36;"VAN WEZEL";1
1561;"2026/1";"Nordic";4603;"ELECTRIC LIFE";3
1561;"2026/1";"Nordic";301;"TOPRAN";2
1561;"2026/1";"Balkan";5349;"BOGAP";1
1561;"2026/1";"Slovenia";4394;"opzional";1
1561;"2026/1";"Slovenia";4364;"ACKOJA";1
1561;"2026/1";"EEU";186;"DENCKERMANN";1
1561;"2026/1";"Other";95;"MAGNETI MARELLI";1
1561;"2026/1";"Germany";2728;"ORIGINAL Schäferbarthold";3
1561;"2026/1";"EEU";4969;"ESEN SKV";1
1561;"2026/1";"Austria";63;"PE Automotive";1
1561;"2026/1";"West Europe";36;"VAN WEZEL";3
1561;"2026/1";"B";263;"SEIM";14
1561;"2026/1";"Croatia";234;"ERA";22
1561;"2026/1";"Portugal";101;"FEBI BILSTEIN";85
1561;"2026/1";"Croatia";94;"METZGER AUTOTEILE";22
1561;"2026/1";"Other";301;"TOPRAN";40
1561;"2026/1";"Other";4585;"DOGA";9
1561;"2026/1";"Other";4938;"FAST";1
1561;"2026/1";"Switzerland";4719;"LIFT-TEK";37
1561;"2026/1";"Croatia";263;"SEIM";9
1561;"2026/1";"West Europe";253;"DIEDERICHS";1
1561;"2026/1";"West Europe";263;"SEIM";8
1561;"2026/1";"Spain";4970;"TRICLO";3
1561;"2026/1";"Serbia";36;"VAN WEZEL";7
1561;"2026/1";"Balkan";21;"VALEO";12
1561;"2026/1";"Germany";4720;"PMM";2
1561;"2026/1";"Germany";4391;"EUROREPAR";1
1561;"2026/1";"Germany";263;"SEIM";12
1561;"2026/1";"Spain";101;"FEBI BILSTEIN";1
1561;"2026/1";"Slovenia";263;"SEIM";1
1561;"2026/1";"Other";2728;"ORIGINAL Schäferbarthold";2
1561;"2026/1";"Germany";355;"DT Spare Parts";27
1561;"2026/1";"Germany";5481;"Frankberg";5
1561;"2026/1";"Austria";3191;"Augustin Group";1
1561;"2026/1";"Nordic";21;"VALEO";60
1561;"2026/1";"Germany";323;"AUTOMEGA";1
1561;"2026/1";"Nordic";35;"LEMFÖRDER";1
1561;"2026/1";"Other";21;"VALEO";11
1561;"2026/1";"SEE";4720;"PMM";1584
1561;"2026/1";"Austria";101;"FEBI BILSTEIN";126
1561;"2026/1";"Nordic";78;"KLOKKERHOLM";16
1561;"2026/1";"Serbia";6355;"NTY";5
