GENART;LDATE;LKZ;DLNR;DLNRBEZ;NARTNR;QTY_POS
1561;"2026/1";"EEU";95;"MAGNETI MARELLI";"350103170089";2
1561;"2026/1";"EEU";101;"FEBI BILSTEIN";"175443";53
1561;"2026/1";"EEU";101;"FEBI BILSTEIN";"176300";2
1561;"2026/1";"EEU";403;"MAXGEAR";"280229";65
1561;"2026/1";"SEE";101;"FEBI BILSTEIN";"175586";18
1561;"2026/1";"SEE";101;"FEBI BILSTEIN";"176631";7
1561;"2026/1";"SEE";101;"FEBI BILSTEIN";"24140";3
1561;"2026/1";"SEE";4720;"PMM";"BI22224L";2
1561;"2026/1";"SEE";4720;"PMM";"BI22324L";28
1561;"2026/1";"SEE";4720;"PMM";"BI24184L";20
1561;"2026/1";"SEE";4720;"PMM";"BI72034R";5
1561;"2026/1";"Germany";36;"VAN WEZEL";"0628264";69
1561;"2026/1";"Germany";36;"VAN WEZEL";"3781227";28
1561;"2026/1";"Other";403;"MAXGEAR";"500348";4
1561;"2026/1";"Other";403;"MAXGEAR";"500490";3
1561;"2026/1";"Austria";21;"VALEO";"851047";1
1561;"2026/1";"Austria";36;"VAN WEZEL";"4034266";1
1561;"2026/1";"Austria";36;"VAN WEZEL";"8207261";4
1561;"2026/1";"Austria";94;"METZGER AUTOTEILE";"2160143";2
1561;"2026/1";"Austria";95;"MAGNETI MARELLI";"350103101500";8
1561;"2026/1";"Austria";301;"TOPRAN";"117130";1
1561;"2026/1";"ROW";301;"TOPRAN";"102888";1
1561;"2026/1";"SEE";4720;"PMM";"BI70154L";12
1561;"2026/1";"SEE";4720;"PMM";"BI70274R";4
1561;"2026/1";"SEE";4720;"PMM";"BI78134R";6
1561;"2026/1";"West Europe";403;"MAXGEAR";"500313";8
1561;"2026/1";"West Europe";403;"MAXGEAR";"500413";1
1561;"2026/1";"West Europe";403;"MAXGEAR";"500794";9
1561;"2026/1";"West Europe";403;"MAXGEAR";"500841";11
1561;"2026/1";"West Europe";403;"MAXGEAR";"500846";3
1561;"2026/1";"West Europe";4585;"DOGA";"100595";15
1561;"2026/1";"West Europe";4585;"DOGA";"100639";3
1561;"2026/1";"West Europe";4585;"DOGA";"100853";3
1561;"2026/1";"West Europe";4585;"DOGA";"101409";3
1561;"2026/1";"West Europe";4585;"DOGA";"101494";9
1561;"2026/1";"West Europe";4849;"Ac Rolcar";"012474";7
1561;"2026/1";"West Europe";4849;"Ac Rolcar";"015052";3
1561;"2026/1";"West Europe";4849;"Ac Rolcar";"017715";1
1561;"2026/1";"West Europe";4849;"Ac Rolcar";"018102";7
1561;"2026/1";"West Europe";4849;"Ac Rolcar";"018411";5
1561;"2026/1";"Other";101;"FEBI BILSTEIN";"175667";1
1561;"2026/1";"Other";403;"MAXGEAR";"500428";2
1561;"2026/1";"Nordic";4585;"DOGA";"100075";1
