NORMSEARCHWORD;SUMMCNT;CNT_WITH_KART;CNT_NOT_FOUND;CNT_NO_KART;QTY_POS;GENART_QTY_POS;GENART_DLNR_QTY_POS;PERCENT_QTY_POS;U4_OE;SA200;SA203FF;IAM_GENART;GENARTNR;GENARTDESCR
"000000000013192426";1;1;0;0;1;1;0;100;0;0;0;0;1561;"Fensterheber"
"0000052063785";3;3;0;0;1;1;0;100;1;0;0;0;1561;"Fensterheber"
"0000052204608";7;2;0;5;1;1;0;100;0;0;0;0;1561;"Fensterheber"
"0002691V001000000";17;12;1;4;2;2;0;100;1;0;0;0;1561;"Fensterheber"
"0002691V002000000";18;7;0;11;1;1;0;100;1;0;0;0;1561;"Fensterheber"
"0002691V003000000";8;8;0;0;2;2;0;100;1;0;0;0;1561;"Fensterheber"
"0002702V003000000";14;8;0;6;2;2;0;100;1;0;0;0;1561;"Fensterheber"
"0007200079";48;36;0;12;3;3;0;100;0;0;0;0;1561;"Fensterheber"
"0007200246";9;6;0;3;2;2;0;100;1;0;0;0;1561;"Fensterheber"
"0007200346";3;1;0;2;1;1;0;100;1;0;0;0;1561;"Fensterheber"
"0007250002";8;7;0;1;1;1;0;100;0;0;1;0;1561;"Fensterheber"
"001024";6;5;0;1;1;1;0;100;0;0;0;0;1561;"Fensterheber"
"00191801";4;4;0;0;2;1;0;50;0;0;0;1;1561;"Fensterheber"
"00311801";2;2;0;0;1;1;0;100;0;0;0;1;1561;"Fensterheber"
"0039967";1;1;0;0;1;1;0;100;0;0;0;0;1561;"Fensterheber"
"0040008";3;3;0;0;2;2;0;100;0;0;0;0;1561;"Fensterheber"
"0095";24;17;3;4;2;1;0;50;0;0;0;0;1561;"Fensterheber"
"00SKV191";2;1;0;1;1;1;0;100;0;0;0;1;1561;"Fensterheber"
"00SKV202";6;3;0;3;1;1;0;100;0;0;0;1;1561;"Fensterheber"
"00SKV412";3;3;0;0;1;1;0;100;0;0;0;1;1561;"Fensterheber"
"00SKV464";3;3;0;0;1;1;0;100;0;0;0;1;1561;"Fensterheber"
"00SKV761";3;3;0;0;1;1;0;100;0;0;0;1;1561;"Fensterheber"
"010160";21;20;0;1;4;1;0;25;0;0;0;1;1561;"Fensterheber"
"0103436";1;1;0;0;1;1;0;100;0;0;0;0;1561;"Fensterheber"
"01046200";9;8;0;1;2;1;0;50;0;0;0;0;1561;"Fensterheber"
"01046600A";1;1;0;0;1;1;0;100;0;0;0;1;1561;"Fensterheber"
"01046700A";4;4;0;0;1;1;0;100;0;0;0;1;1561;"Fensterheber"
"010503";9;8;0;1;2;2;0;100;0;0;0;1;1561;"Fensterheber"
"010504";6;6;0;0;2;1;0;50;0;0;0;1;1561;"Fensterheber"
"010505";9;9;0;0;3;3;0;100;0;0;0;1;1561;"Fensterheber"
"010507";21;20;0;1;3;3;0;100;0;0;0;1;1561;"Fensterheber"
"0113262";6;6;0;0;1;1;0;100;0;0;0;1;1561;"Fensterheber"
"011350";5;5;0;0;2;1;0;50;0;0;0;1;1561;"Fensterheber"
"011425";3;3;0;0;1;1;0;100;0;0;0;1;1561;"Fensterheber"
"011510";13;13;0;0;3;3;0;100;0;0;0;1;1561;"Fensterheber"
"011511";48;47;0;1;5;5;0;100;0;0;0;1;1561;"Fensterheber"
"011512";8;8;0;0;2;2;0;100;0;0;0;1;1561;"Fensterheber"
"011513";4;4;0;0;1;1;0;100;0;0;0;1;1561;"Fensterheber"
"011514";19;19;0;0;3;3;0;100;0;0;0;1;1561;"Fensterheber"
"011515";64;64;0;0;8;8;0;100;0;0;0;1;1561;"Fensterheber"
"011516";9;9;0;0;3;1;0;33,33;0;0;0;1;1561;"Fensterheber"
"011704";10;10;0;0;1;1;0;100;0;0;0;1;1561;"Fensterheber"
"011705";21;19;0;2;5;5;0;100;0;0;0;1;1561;"Fensterheber"
"011755";16;16;0;0;6;1;0;16,67;0;0;0;1;1561;"Fensterheber"
"011760";14;13;0;1;2;2;0;100;0;0;0;1;1561;"Fensterheber"
"011906";11;11;0;0;1;1;0;100;0;0;0;1;1561;"Fensterheber"
"012101";28;23;0;5;2;1;0;50;0;0;0;1;1561;"Fensterheber"
"012150";58;54;0;4;7;2;0;28,57;0;0;0;1;1561;"Fensterheber"
"012151";20;20;0;0;10;10;0;100;0;0;0;1;1561;"Fensterheber"
"012253";12;11;0;1;1;1;0;100;0;0;0;1;1561;"Fensterheber"
"012415";1;1;0;0;1;1;0;100;0;0;0;1;1561;"Fensterheber"
"012419";3;3;0;0;2;2;0;100;0;0;0;1;1561;"Fensterheber"
"012431";5;5;0;0;3;1;0;33,33;0;0;0;1;1561;"Fensterheber"
