NORMSEARCHWORD;SUMMCNT;CNT_WITH_KART;CNT_NOT_FOUND;CNT_NO_KART;QTY_POS;GENART_QTY_POS;GENART_DLNR_QTY_POS;PERCENT_QTY_POS;U4_OE;SA200;SA203FF;IAM_GENART;GENARTNR;GENARTDESCR
"0000051723323";6;2;1;3;1;1;0;100;1;0;0;0;1561;"Fensterheber"
"0000051895385";6;3;0;3;1;1;0;100;1;0;0;0;1561;"Fensterheber"
"0000052130436";1;0;0;1;1;1;0;100;0;0;0;0;1561;"Fensterheber"
"0002684V004000000";4;2;0;2;1;1;0;100;0;0;0;0;1561;"Fensterheber"
"0002691V001";2;1;0;1;1;1;0;100;0;0;0;0;1561;"Fensterheber"
"0002691V001000000";23;15;0;8;1;1;0;100;1;0;0;0;1561;"Fensterheber"
"0002691V002000000";42;28;1;13;1;1;0;100;1;0;0;0;1561;"Fensterheber"
"0002691V003000000";32;23;0;9;7;7;0;100;1;0;0;0;1561;"Fensterheber"
"0002702V001000000";18;15;0;3;4;4;0;100;1;0;0;0;1561;"Fensterheber"
"0002702V002000000";29;20;0;9;4;4;0;100;1;0;0;0;1561;"Fensterheber"
"0002702V003000000";30;28;0;2;5;5;0;100;1;0;0;0;1561;"Fensterheber"
"0007200079";37;30;0;7;5;5;0;100;0;0;0;0;1561;"Fensterheber"
"0007200179";22;20;0;2;2;2;0;100;0;0;0;0;1561;"Fensterheber"
"0007200246";21;10;0;11;3;2;0;66,67;1;0;0;0;1561;"Fensterheber"
"00141801";4;4;0;0;1;1;0;100;0;0;0;1;1561;"Fensterheber"
"00181804";2;2;0;0;1;1;0;100;0;0;0;1;1561;"Fensterheber"
"00191801";7;7;0;0;3;3;0;100;0;0;0;1;1561;"Fensterheber"
"0039892";3;2;1;0;1;1;0;100;0;0;0;0;1561;"Fensterheber"
"0039928";1;1;0;0;1;1;0;100;0;0;0;0;1561;"Fensterheber"
"00611904";5;5;0;0;1;1;0;100;0;0;0;1;1561;"Fensterheber"
"00621901";8;8;0;0;2;1;0;50;0;0;0;1;1561;"Fensterheber"
"00621902";2;2;0;0;1;1;0;100;0;0;0;1;1561;"Fensterheber"
"0070944";2;2;0;0;1;1;0;100;0;0;0;0;1561;"Fensterheber"
"0071769766";3;3;0;0;1;1;0;100;1;0;0;0;1561;"Fensterheber"
"0086126";1;1;0;0;1;1;0;100;0;0;0;0;1561;"Fensterheber"
